Estado Nome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Acre,17.0,23.0,24.0,25.0,50.0,68.0,84.0,84.0,86.0,86.0,92.0,92.0,96.0,100.0,100.0,108.0,124.0,140.0,144.0,154.0,180.0,198.0,202.0,220.0,270.0,284.0,326.0,352.0,390.0,428.0,454.0,468.0,516.0,558.0,580.0,622.0,708.0,808.0,972.0,1106.0,1314.0,1466.0,1634.0,1886.0,2028.0,2354.0,2670.0,2894.0,2920.0,3180.0,3388.0
Alagoas,9.0,11.0,11.0,11.0,28.0,34.0,34.0,36.0,36.0,36.0,45.0,46.0,56.0,62.0,64.0,74.0,74.0,90.0,96.0,96.0,100.0,144.0,164.0,178.0,220.0,264.0,318.0,342.0,420.0,486.0,648.0,826.0,1003.0,1114.0,1286.0,1554.0,1914.0,2089.0,2452.0,2744.0,2882.0,3076.0,3212.0,3406.0,3734.0,4066.0,4344.0,4516.0,4686.0,5160.0,5522.0
Amazonas,47.0,54.0,67.0,81.0,222.0,280.0,302.0,350.0,400.0,458.0,520.0,622.0,834.0,1064.0,1272.0,1608.0,1798.0,1962.0,2100.0,2412.0,2550.0,2968.0,3108.0,3438.0,3618.0,3794.0,4088.0,4320.0,4540.0,4958.0,5776.0,6388.0,7270.0,7666.0,7856.0,8674.0,9602.0,10508.0,11446.0,12124.0,13366.0,14484.0,16218.0,18486.0,20198.0,21454.0,23850.0,25198.0,25838.0,28336.0,31632.0
Amapá,1.0,1.0,2.0,2.0,8.0,8.0,16.0,20.0,22.0,22.0,38.0,56.0,58.0,68.0,96.0,214.0,256.0,332.0,386.0,460.0,484.0,614.0,668.0,724.0,740.0,786.0,832.0,866.0,914.0,958.0,1096.0,1266.0,1370.0,1596.0,1684.0,1836.0,2032.0,2160.0,2242.0,2374.0,2964.0,3466.0,3862.0,4092.0,4398.0,4644.0,4986.0,5226.0,5342.0,5820.0,6010.0
Bahia,76.0,84.0,104.0,115.0,255.0,310.0,352.0,430.0,492.0,534.0,571.0,668.0,802.0,862.0,918.0,1012.0,1127.0,1220.0,1275.0,1347.0,1446.0,1535.0,1691.0,1918.0,2123.0,2393.0,2479.0,2718.0,2993.0,3289.0,3634.0,3941.0,4197.0,4457.0,4710.0,5104.0,5322.0,5718.0,6225.0,6582.0,7061.0,7468.0,8080.0,8602.0,9056.0,9636.0,10348.0,11116.0,11616.0,12408.0,13094.0
Ceará,182.0,200.0,235.0,282.0,636.0,707.0,754.0,791.0,889.0,1100.0,1285.0,1474.0,1648.0,2037.0,2240.0,2665.0,2870.0,3036.0,3250.0,3423.0,3735.0,4075.0,4448.0,4772.0,5368.0,6096.0,6558.0,6967.0,7432.0,8000.0,9274.0,9921.0,11088.0,11919.0,13424.0,13872.0,14644.0,15212.0,15879.0,16540.0,16749.0,22080.0,22940.0,24608.0,27776.0,29912.0,31758.0,33384.0,35198.0,36824.0,38312.0
Distrito Federal,160.0,160.0,200.0,230.0,520.0,578.0,624.0,664.0,710.0,740.0,804.0,908.0,936.0,946.0,984.0,1018.0,1054.0,1110.0,1158.0,1228.0,1276.0,1302.0,1364.0,1432.0,1492.0,1524.0,1654.0,1744.0,1762.0,1892.0,1926.0,1978.0,2026.0,2132.0,2292.0,2426.0,2550.0,2712.0,2932.0,3132.0,3298.0,3536.0,3636.0,3812.0,4516.0,4884.0,5152.0,5364.0,5566.0,5958.0,6384.0
Espírito Santo,33.0,39.0,39.0,47.0,106.0,120.0,144.0,168.0,192.0,240.0,278.0,306.0,332.0,388.0,418.0,454.0,546.0,600.0,698.0,766.0,860.0,926.0,1114.0,1514.0,1784.0,2009.0,2224.0,2332.0,2461.0,2664.0,2726.0,2877.0,3206.0,3428.0,3636.0,3939.0,4328.0,5039.0,5453.0,5933.0,6172.0,6452.0,6804.0,7136.0,7676.0,8484.0,8824.0,9198.0,9638.0,10174.0,10802.0
Goiás,27.0,29.0,39.0,49.0,112.0,116.0,122.0,130.0,144.0,146.0,176.0,206.0,230.0,238.0,266.0,317.0,358.0,382.0,418.0,458.0,466.0,568.0,608.0,636.0,670.0,756.0,786.0,806.0,842.0,876.0,906.0,972.0,1012.0,1146.0,1232.0,1322.0,1410.0,1562.0,1616.0,1650.0,1700.0,1722.0,1844.0,2048.0,2054.0,2106.0,2138.0,2186.0,2200.0,2230.0,2268.0
Maranhão,8.0,8.0,10.0,13.0,28.0,32.0,46.0,62.0,106.0,142.0,162.0,176.0,192.0,266.0,344.0,460.0,546.0,586.0,688.0,796.0,890.0,956.0,1260.0,1390.0,1594.0,2080.0,2410.0,2640.0,2792.0,3208.0,3514.0,3902.0,4210.0,4446.0,4820.0,5056.0,5608.0,6380.0,7012.0,7610.0,8080.0,8454.0,9060.0,10056.0,10778.0,11818.0,13530.0,15198.0,16288.0,17052.0,18224.0
Minas Gerais,130.0,133.0,153.0,189.0,410.0,462.0,522.0,550.0,628.0,740.0,794.0,860.0,996.0,1050.0,1118.0,1228.0,1310.0,1396.0,1500.0,1612.0,1630.0,1768.0,1806.0,1916.0,2042.0,2154.0,2308.0,2378.0,2460.0,2566.0,2616.0,2838.0,2962.0,3096.0,3172.0,3298.0,3516.0,3654.0,3870.0,4046.0,4236.0,4694.0,4904.0,5210.0,5540.0,5886.0,6246.0,6474.0,6640.0,6870.0,7466.0
Mato Grosso do Sul,23.0,24.0,25.0,28.0,62.0,72.0,88.0,96.0,102.0,106.0,120.0,124.0,130.0,132.0,160.0,170.0,178.0,194.0,200.0,202.0,226.0,230.0,242.0,262.0,286.0,322.0,336.0,342.0,346.0,350.0,372.0,426.0,434.0,468.0,476.0,480.0,498.0,510.0,522.0,532.0,544.0,548.0,566.0,576.0,622.0,652.0,692.0,724.0,770.0,810.0,860.0
Mato Grosso,7.0,8.0,11.0,11.0,26.0,32.0,36.0,50.0,54.0,72.0,88.0,112.0,120.0,152.0,156.0,180.0,216.0,224.0,242.0,246.0,268.0,276.0,302.0,312.0,324.0,342.0,348.0,362.0,362.0,366.0,442.0,480.0,494.0,500.0,514.0,522.0,584.0,594.0,640.0,662.0,674.0,688.0,730.0,758.0,834.0,914.0,1004.0,1038.0,1082.0,1182.0,1322.0
Pará,5.0,7.0,13.0,13.0,34.0,36.0,42.0,64.0,81.0,92.0,100.0,160.0,172.0,204.0,277.0,334.0,336.0,340.0,434.0,492.0,540.0,646.0,768.0,876.0,1114.0,1280.0,1370.0,1804.0,2052.0,2390.0,2534.0,2892.0,3324.0,3734.0,4256.0,4524.0,4844.0,5752.0,6352.0,6920.0,7726.0,8250.0,8944.0,10034.0,11048.0,12282.0,13550.0,14512.0,15126.0,17232.0,19236.0
Paraíba,3.0,3.0,5.0,9.0,28.0,28.0,30.0,34.0,40.0,42.0,58.0,64.0,68.0,70.0,72.0,82.0,110.0,158.0,170.0,202.0,222.0,272.0,303.0,330.0,390.0,410.0,472.0,490.0,526.0,602.0,690.0,772.0,894.0,998.0,1086.0,1266.0,1398.0,1628.0,1852.0,2068.0,2338.0,2438.0,2722.0,2986.0,3314.0,4062.0,4312.0,4682.0,5050.0,5554.0,6090.0
Pernambuco,42.0,46.0,48.0,56.0,136.0,146.0,156.0,174.0,190.0,212.0,272.0,352.0,402.0,446.0,704.0,802.0,1110.0,1368.0,1632.0,1920.0,2308.0,2568.0,2968.0,3366.0,4012.0,4386.0,4918.0,5380.0,5816.0,6596.0,7123.0,7998.0,9014.0,9796.0,10716.0,11448.0,12388.0,13752.0,14668.0,16290.0,17286.0,17726.0,18650.0,19762.0,21648.0,23174.0,24940.0,26550.0,27536.0,28618.0,29802.0
Piauí,6.0,8.0,9.0,9.0,22.0,28.0,32.0,36.0,36.0,38.0,42.0,44.0,46.0,46.0,56.0,62.0,76.0,80.0,82.0,88.0,100.0,116.0,150.0,182.0,204.0,246.0,290.0,316.0,372.0,412.0,434.0,512.0,594.0,662.0,728.0,828.0,908.0,1026.0,1200.0,1330.0,1484.0,1568.0,1750.0,1898.0,2102.0,2262.0,2466.0,2556.0,2664.0,2886.0,3224.0
Paraná,65.0,81.0,102.0,119.0,266.0,296.0,310.0,358.0,448.0,504.0,602.0,790.0,876.0,916.0,1006.0,1078.0,1218.0,1286.0,1352.0,1476.0,1512.0,1582.0,1606.0,1664.0,1748.0,1890.0,1974.0,2014.0,2048.0,2126.0,2164.0,2238.0,2280.0,2312.0,2372.0,2542.0,2696.0,2814.0,2894.0,2984.0,3028.0,3124.0,3176.0,3254.0,3312.0,3422.0,3570.0,3670.0,3698.0,3812.0,3992.0
Rio de Janeiro,305.0,370.0,421.0,493.0,1116.0,1200.0,1314.0,1416.0,1664.0,1984.0,2148.0,2492.0,2788.0,2921.0,3376.0,3876.0,4432.0,4928.0,5214.0,5710.0,6452.0,6820.0,7486.0,7888.0,8698.0,9086.0,9440.0,9798.0,10612.0,11104.0,12344.0,12564.0,13656.0,14222.0,15888.0,17008.0,17738.0,18906.0,20332.0,21092.0,22278.0,23442.0,24782.0,26590.0,28312.0,31482.0,33858.0,34124.0,35878.0,36972.0,37456.0
Rio Grande do Norte,13.0,14.0,19.0,28.0,90.0,136.0,154.0,164.0,184.0,211.0,352.0,426.0,484.0,492.0,508.0,522.0,522.0,526.0,578.0,605.0,678.0,752.0,798.0,800.0,926.0,1032.0,1087.0,1190.0,1216.0,1292.0,1416.0,1508.0,1562.0,1650.0,1664.0,1714.0,2172.0,2354.0,2594.0,2732.0,2784.0,2842.0,3072.0,3148.0,3478.0,3642.0,3838.0,3856.0,3978.0,4066.0,4734.0
Rondônia,3.0,5.0,5.0,6.0,12.0,12.0,12.0,16.0,18.0,20.0,20.0,22.0,24.0,28.0,36.0,44.0,56.0,64.0,66.0,70.0,84.0,128.0,138.0,152.0,184.0,220.0,256.0,320.0,398.0,446.0,500.0,580.0,656.0,728.0,786.0,826.0,866.0,1004.0,1170.0,1306.0,1410.0,1512.0,1722.0,1886.0,2196.0,2444.0,2526.0,2604.0,2792.0,2920.0,3224.0
Roraima,2.0,8.0,8.0,10.0,24.0,32.0,32.0,32.0,44.0,52.0,60.0,74.0,84.0,84.0,84.0,98.0,104.0,126.0,150.0,158.0,166.0,226.0,228.0,284.0,328.0,402.0,444.0,488.0,494.0,560.0,594.0,608.0,690.0,802.0,814.0,850.0,904.0,1038.0,1204.0,1336.0,1480.0,1612.0,1738.0,1864.0,2040.0,2248.0,2404.0,2580.0,2590.0,2656.0,2822.0
Rio Grande do Sul,98.0,123.0,168.0,195.0,394.0,452.0,482.0,548.0,612.0,668.0,792.0,820.0,836.0,962.0,1016.0,1110.0,1236.0,1272.0,1280.0,1306.0,1328.0,1400.0,1494.0,1560.0,1604.0,1662.0,1708.0,1778.0,1808.0,1846.0,1988.0,2122.0,2192.0,2332.0,2456.0,2572.0,2736.0,2932.0,3058.0,3238.0,3332.0,3422.0,3630.0,4100.0,4258.0,4894.0,4986.0,5084.0,5152.0,5834.0,5834.0
Santa Catarina,107.0,109.0,122.0,149.0,368.0,388.0,394.0,450.0,470.0,494.0,562.0,668.0,714.0,758.0,834.0,914.0,1002.0,1386.0,1464.0,1500.0,1603.0,1679.0,1706.0,1768.0,1852.0,1924.0,1950.0,2050.0,2126.0,2182.0,2230.0,2340.0,2418.0,2470.0,2674.0,2952.0,3990.0,4170.0,4208.0,4692.0,4692.0,5038.0,5246.0,5834.0,6164.0,6410.0,6744.0,6858.0,7058.0,7466.0,7656.0
Sergipe,15.0,16.0,16.0,16.0,32.0,32.0,32.0,38.0,40.0,46.0,50.0,54.0,64.0,64.0,72.0,72.0,78.0,84.0,84.0,88.0,88.0,90.0,92.0,96.0,106.0,142.0,166.0,172.0,184.0,234.0,248.0,288.0,306.0,318.0,394.0,560.0,674.0,894.0,1034.0,1202.0,1460.0,1544.0,1796.0,1996.0,2428.0,2876.0,3176.0,3542.0,3600.0,4064.0,4536.0
São Paulo,810.0,862.0,1052.0,1223.0,2812.0,2902.0,3034.0,4678.0,5962.0,7012.0,8096.0,8932.0,9240.0,9732.0,11364.0,13416.0,14960.0,16432.0,16838.0,17510.0,17790.0,18742.0,22086.0,23136.0,25682.0,27788.0,28534.0,29160.0,30770.0,31828.0,33480.0,35652.0,40008.0,41430.0,43392.0,48082.0,52316.0,57396.0,60748.0,62348.0,63544.0,64374.0,68106.0,75706.0,79856.0,83660.0,88822.0,90888.0,92262.0,95438.0,102194.0
Tocantins,7.0,7.0,7.0,8.0,18.0,18.0,20.0,22.0,24.0,24.0,24.0,28.0,34.0,34.0,38.0,46.0,46.0,46.0,46.0,50.0,52.0,52.0,52.0,60.0,62.0,66.0,66.0,68.0,74.0,74.0,74.0,86.0,100.0,116.0,134.0,158.0,232.0,275.0,328.0,382.0,492.0,534.0,606.0,702.0,846.0,988.0,1144.0,1376.0,1494.0,1656.0,1864.0
