Estado Nome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
Acre,,,,,,,,,,,,,,,,,,,,,,0.3402,0.3402,0.4535,0.7937,1.2473,1.2473,1.9276,2.3811,2.6079,2.6079,2.8347,2.8347,3.8552,4.6489,4.7623,4.8756,5.1024,5.2158,5.2158,5.4426,5.6694,5.6694,6.5764,7.03,7.9371,8.1639,8.7308,10.2048,11.2253,11.4521,13.0395,15.3073,16.101,18.4821,19.9561,22.1105,24.2648,25.7389,26.5326,29.2539,31.635,34.1295,35.9437,40.139,45.8084,55.2195,62.703,74.6087,83.1127,92.6372,106.924,114.9745,133.4565,151.3717,164.071,165.5451,180.2854,192.0776,197.2935,202.3959,211.6936,226.3205,253.3066,281.4266,319.4113,351.84,379.0529,438.4677,471.6901,510.3551,542.1034,595.3954,634.9674,662.2937,688.4861,705.154,717.2864,733.0472,757.312,796.0904,825.9112,853.2375,905.1687,921.4965,958.9142,991.6831,1030.8016,1053.9325,1081.032,1093.2778,1107.9048,1134.2106,1172.3086,1209.1594,1245.7834,1277.0782,1290.4579,1308.3731,1339.101,1363.139,1395.1142,1433.6657,1464.1669,1480.608,1490.586,1502.7185,1555.1033,1592.8612,1600.1179,1642.6381,1657.9453,1665.4289,1694.1158,1719.7413,1753.5306,1787.8869,1823.2636,1835.7362,1843.6733,1868.505,1890.3887,1912.2724,1923.6112,1950.4839,1961.0289,1979.9645,2006.9506,2038.5856,2058.7685,2085.5278,2115.462,2125.4401,2129.7488,2169.3209,2195.8534,2219.3246,2225.2207,2259.8037,2263.8857,2306.179,2348.2456,2384.8696,2410.9487,2423.7614,2437.5946,2447.6861,2451.3144,2466.9619
Alagoas,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.1199,0.1798,0.2097,0.2097,0.2397,0.2996,0.3296,0.3296,0.3596,0.4195,0.5094,0.5094,0.5393,0.5393,0.5393,0.6892,0.6892,0.839,0.9289,1.0188,1.1087,1.1087,1.3484,1.4383,1.4383,1.7379,2.1574,2.487,2.6668,3.296,3.9552,4.7642,5.1238,6.2924,7.2812,9.7083,12.3751,15.0119,16.7797,19.2667,23.2819,28.6754,31.3122,36.7357,41.0804,43.1779,46.0844,48.0919,51.0284,55.9425,60.9165,65.0215,67.6583,70.2053,77.3067,82.7301,89.0525,96.2438,107.66,114.342,120.7842,129.4138,132.9495,147.3022,158.8682,168.6964,186.1952,200.2183,211.4847,227.1258,241.3886,258.2583,276.3564,308.2679,324.718,346.3519,371.7612,392.4063,417.6658,444.004,470.6119,489.579,515.1681,544.6226,575.3055,600.2055,625.8545,665.1671,686.9508,708.1052,745.1106,768.0629,806.2068,829.9382,858.6735,880.7868,906.286,935.7704,960.7902,984.7313,1004.4176,1028.119,1052.2099,1077.5593,1103.2383,1118.4899,1150.731,1176.2302,1196.6056,1215.6026,1244.2181,1268.1292,1294.1678,1317.18,1337.3757,1358.2604,1387.2055,1408.4499,1434.1888,1460.2573,1475.8086,1485.6966,1500.5587,1507.3904,1526.6871,1548.5308,1573.9701,1609.4472,1639.9205,1659.2771,1684.0871,1712.1932,1741.6177,1767.2368,1789.5898,1827.554,1864.9488,1881.0694,1898.2386,1923.4981,1950.4356,1975.0959,2000.0258,2025.9445,2044.6419,2065.5567
Amazonas,,,,,,,,,,,,,,,,,,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483,0.0724,0.1689,0.2654,0.6273,0.7721,1.134,1.3029,1.6166,1.9544,2.6782,3.3779,3.6433,4.2224,4.8256,5.5253,6.2732,7.5037,10.0613,12.836,15.3453,19.3987,21.6909,23.6694,25.3101,29.0981,30.7629,35.8057,37.4946,41.4757,43.6472,45.7704,49.3172,52.116,54.7701,59.8128,69.6811,77.0642,87.7045,92.4819,94.774,104.6423,115.8376,126.7675,138.0834,146.2627,161.2461,176.4466,195.6523,223.0132,243.6666,258.8189,287.724,303.9861,311.707,341.8426,381.6053,414.5397,443.7585,474.7627,490.4699,504.5846,533.9964,571.9253,612.0499,652.3674,694.9288,720.6249,730.638,770.859,808.4743,872.1234,938.7885,978.6235,998.36,1007.9146,1042.2002,1069.9955,1121.2912,1150.0756,1177.0746,1188.7525,1201.9745,1236.1636,1275.13,1302.6357,1329.7071,1351.784,1363.3654,1369.904,1399.8466,1436.738,1455.7748,1480.0233,1509.8935,1522.2228,1530.3056,1563.6743,1604.6433,1623.0046,1645.9984,1665.3489,1680.477,1686.3642,1708.8031,1744.0538,1774.117,1798.4137,1821.697,1834.0505,1844.0152,1910.1254,1932.2023,1962.0243,1990.7122,2008.1566,2015.2985,2036.6757,2070.1651,2097.7673,2123.8494,2143.0793,2184.3861,2193.5305,2205.0153,2223.7144,2237.1536,2273.297,2302.371,2318.5366,2327.4398,2342.3025,2367.3713,2390.8959,2416.1577,2435.4599,2455.6549,2464.0273,2470.3487,2491.6536,2515.323,2534.7217,2554.0963,2567.8733,2580.468,2586.4276,2608.3356
Amapá,,,,,,,,,,,,,,,,,,,,,,,,,0.1182,0.1182,0.1182,0.1182,0.1182,0.2365,0.2365,0.3547,0.473,0.9459,0.9459,1.1824,1.3006,1.4189,2.2466,3.429,3.7837,4.6114,6.0303,12.6518,13.0065,19.628,22.8205,28.0231,28.8508,36.4182,40.4384,42.8032,44.3403,47.2964,49.1882,51.4348,55.1003,58.1745,65.6237,76.6201,81.468,97.0758,99.5588,108.5452,120.1328,127.7002,132.5481,140.352,175.233,204.9115,228.3232,241.9209,260.0118,274.5554,294.7746,308.9635,315.8215,344.081,355.3139,405.3298,429.2145,453.3356,467.2881,475.6832,509.6183,537.8779,613.4338,668.6523,668.6523,751.1845,778.4981,823.7844,900.8775,963.8999,1001.3822,1101.1776,1135.3492,1169.4026,1242.8302,1313.3017,1365.8007,1457.5557,1510.2911,1542.4526,1571.8946,1628.2955,1729.0368,1793.2416,1854.3721,1929.9281,1952.3938,1987.9844,2131.1741,2201.4092,2292.3365,2355.5953,2550.9293,2582.3814,2939.7054,3125.9348,3182.927,3241.5744,3270.78,3299.0395,3308.9718,3340.6603,3368.9199,3420.3547,3447.0771,3496.8566,3524.6432,3533.393,3547.7002,3581.99,3609.1854,3637.445,3674.9274,3698.4573,3708.5078,3730.7371,3770.1113,3831.9513,3902.4229,3953.5029,3971.1208,3985.3097,4037.3357,4068.0784,4098.2298,4119.2767,4141.506,4157.5868,4164.4447,4181.4714,4220.8456,4253.4801,4288.8342,4312.0094,4327.026,4332.2286,4351.7383,4374.7953,4412.5141,4461.8206,4488.8978,4509.5899,4517.7486,4540.3326,4568.3557
Bahia,,,,,,,,,,,0.0067,0.0134,0.0134,0.0134,0.0134,0.0202,0.0202,0.0471,0.0471,0.0605,0.0672,0.0941,0.1815,0.2084,0.2286,0.2757,0.3698,0.4236,0.5312,0.6118,0.7261,0.827,0.8539,1.0489,1.1833,1.459,1.654,1.7952,1.9498,2.2591,2.6961,2.9382,3.1063,3.4626,3.819,4.1417,4.3031,4.5317,4.8611,5.2175,5.9436,6.5017,7.1539,8.0683,8.3977,9.2583,10.1122,11.0603,12.405,13.3059,14.2271,15.1146,15.8407,17.2392,17.9923,19.2765,21.112,22.2886,23.9762,25.1058,27.1632,28.918,30.4443,32.3941,34.7877,37.3696,39.0505,41.713,44.0192,46.7624,54.6491,55.8997,56.7671,59.712,74.0466,75.2837,80.2861,84.4278,87.4063,93.4508,95.5015,97.9354,101.3241,107.3283,113.7425,118.5095,123.6598,127.0619,144.086,150.9507,157.755,177.6298,184.1988,189.9407,193.0671,204.941,219.7597,227.8683,233.0724,240.6229,244.7445,252.9405,263.6041,275.1686,279.5456,295.3124,304.6044,311.1598,316.5857,330.0194,349.1614,365.029,379.3569,438.6722,460.5305,467.0658,492.8843,514.2518,533.5081,553.4435,574.7639,585.2728,593.5495,618.2586,642.3424,661.0541,680.3306,700.5147,711.1043,718.6885,739.787,759.7157,782.4413,797.798,808.4279,821.4111,828.9617,852.8438,895.8813,930.2589,959.9031,984.3231,996.291,1002.5439,1030.8098,1057.8452,1086.7297,1117.1471,1135.7848,1146.2063,1152.3584,1179.2392,1208.4733,1235.0515,1263.3039,1286.8969,1297.8429,1305.0236,1336.4227
Ceará,,,,,,,,,,,,,,,,,,,,,0.0986,0.1095,0.2081,0.2628,0.7446,0.9198,1.3688,1.7959,2.0258,2.3105,2.5952,3.088,3.526,3.9312,4.1831,4.3911,4.8729,6.1651,7.2054,8.1581,10.5124,11.4432,13.0091,15.2649,15.8233,17.0607,18.2653,19.1304,21.189,22.6673,25.0874,26.4124,30.0808,33.5302,36.2021,38.1622,40.3194,45.0719,51.4888,56.0771,62.056,68.5496,74.2766,76.4886,81.1316,86.0812,87.6033,90.987,91.7535,120.8925,125.6012,134.7995,152.0793,165.7235,173.8816,182.7842,192.7163,201.619,209.7661,230.8018,252.5055,260.565,265.6022,288.6857,307.8379,334.6445,343.9852,378.5885,384.6003,389.7799,396.2406,405.3951,408.1765,414.1555,420.441,523.6705,530.9744,553.0395,598.8013,613.8362,654.7798,680.8527,696.1723,703.7938,725.1143,755.8302,787.8492,817.908,829.8659,836.9289,841.3529,874.4231,899.7843,937.4208,965.0816,990.366,1011.7851,1016.9208,1037.0914,1073.7425,1090.4199,1129.1844,1152.7497,1172.3947,1178.1875,1185.1081,1209.8342,1248.7629,1275.9308,1295.554,1330.0806,1335.7967,1351.2149,1381.3066,1419.1513,1438.0517,1474.0347,1489.2667,1497.9066,1502.7686,1526.8923,1553.1186,1577.4942,1599.4607,1609.4037,1613.8496,1618.6677,1654.3004,1690.5353,1711.1658,1751.551,1772.2582,1774.9082,1778.6642,1814.5158,1852.1305,1878.7071,1912.6205,1931.3348,1935.7369,1937.916,1970.811,1997.9352,2015.9705,2042.9414,2061.8418,2065.6635,2069.8794,2097.4416
Distrito Federal,,,,,,,,,,,,0.0332,0.0332,0.0332,0.0332,0.0663,0.0663,0.0663,0.2653,0.4643,0.6301,0.6301,1.1276,1.3929,2.8853,3.5818,3.8803,4.5767,5.3395,6.4671,6.6661,7.9927,8.6228,9.883,10.3473,11.0438,12.2709,13.2658,13.8959,15.123,15.521,16.0848,16.6818,16.8808,17.4777,18.4395,19.6334,20.4957,21.2585,21.5901,22.8172,24.1106,25.0724,26.399,28.5215,29.019,30.2792,31.8048,32.1033,33.5625,33.8278,37.3101,39.4326,40.7924,43.5451,47.1932,51.2724,53.2291,57.043,59.464,60.9233,67.8547,74.8855,80.9878,85.4319,88.9473,92.8276,98.7972,105.8612,113.2901,125.5941,137.3012,144.8627,153.1539,160.9476,174.8103,183.7979,197.2627,207.2121,220.1463,229.8303,239.1164,257.3901,275.2657,289.2612,314.2009,324.3493,348.5594,373.3002,398.6379,428.5855,471.2019,525.6581,551.2943,562.0728,599.9467,644.4867,680.1054,709.5887,728.2603,758.5064,785.4692,841.7162,900.0858,945.8861,1024.8509,1069.1587,1101.9584,1132.503,1172.9637,1235.5121,1289.1391,1370.5581,1418.3151,1489.254,1561.0884,1632.2927,1680.6466,1733.8757,1790.7529,1849.2552,1918.7018,2002.5749,2079.2182,2132.9447,2178.148,2231.8746,2268.6541,2345.1315,2397.2662,2442.7016,2499.9105,2574.2654,2633.2651,2691.7342,2733.1567,2795.3402,2854.6716,2911.8805,2985.5721,3064.8685,3123.6693,3194.8072,3266.0447,3340.5323,3394.1262,3463.7717,3525.1261,3579.1843,3649.0289,3715.8886,3778.238,3845.96,3913.4167,3976.5288,4040.2379,4081.1298,4181.0214,4227.9492
Espírito Santo,,,,,,,,,,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0498,0.0498,0.0995,0.0995,0.1991,0.1991,0.2737,0.3235,0.3981,0.647,0.647,0.8212,0.9954,0.9954,1.1944,1.3437,1.5179,1.7916,2.1151,2.4137,2.9861,3.4589,3.8072,4.1307,4.8275,5.2008,5.6487,6.7933,7.4652,8.6845,9.5306,10.7001,11.5213,13.8604,18.2648,23.2665,23.6895,27.3475,29.7364,30.1594,32.6727,33.6183,36.1564,41.4318,42.5765,45.264,48.3745,53.8489,63.1555,66.8881,72.487,77.2399,79.8278,83.3862,88.0893,92.4191,99.2373,105.5578,109.7881,114.4414,119.9159,126.5848,134.3984,144.6506,154.2309,164.1098,167.8176,178.0946,191.4324,211.3894,220.92,236.8955,246.7993,249.014,257.9224,270.9616,285.7676,303.6592,321.078,334.366,340.6617,355.4676,377.0172,401.1546,420.3899,450.624,471.5514,488.1988,514.0781,546.5517,582.0611,607.8658,634.5912,647.2572,658.654,688.0918,722.3819,759.1355,790.6138,826.9444,851.9777,867.6048,899.4812,916.4023,957.6101,1005.462,1036.4675,1036.4675,1087.0068,1122.1928,1166.8844,1214.8607,1250.2208,1286.228,1314.4713,1328.6303,1357.3464,1410.9962,1464.1982,1493.2627,1526.9058,1552.5861,1564.5304,1589.6134,1622.7589,1651.1017,1695.0468,1728.5158,1745.1383,1757.0328,1784.2559,1806.7013,1835.3178,1856.5936,1887.5493,1906.063,1921.068,1945.4294,1977.48,2006.8182,2037.6495,2072.6363,2085.6258,2096.5996,2120.4882,2145.2229,2170.9529,2203.3021,2237.642,2268.0751,2284.1253,2315.927,2350.9885
Goiás,,,,,,,,,,,,,,,,,0.0427,0.0427,0.057,0.057,0.1282,0.1425,0.171,0.2137,0.2565,0.2707,0.2992,0.3277,0.4132,0.4987,0.5414,0.6982,0.7979,0.7979,0.8549,0.9261,1.0401,1.0401,1.2539,1.4676,1.6386,1.6956,1.895,2.2655,2.5505,2.7214,2.9779,3.2629,3.3199,4.0465,4.3315,4.531,4.7732,5.3859,5.5996,5.7421,5.9986,6.2408,6.4545,6.9247,7.2097,8.1643,8.777,9.4182,10.0451,11.128,11.5127,11.7549,12.1111,12.2678,13.137,14.5903,14.6331,15.0035,15.2315,15.5735,15.6732,15.8869,17.4542,20.8026,22.8686,23.5383,24.1082,25.3763,26.7869,29.1949,30.7052,33.3981,34.6947,35.4499,35.8346,38.556,41.4057,44.1841,50.1685,51.4223,53.0894,57.2356,63.9181,66.9815,72.6951,79.862,82.213,83.4526,89.7931,98.8266,105.1529,110.7667,112.9325,113.1462,113.4169,148.7671,168.6435,182.037,194.7038,207.1711,220.1371,226.6058,243.4331,256.6699,274.7083,290.3387,305.499,311.5403,315.8148,333.1123,354.9265,372.5232,374.9882,391.8583,406.4486,406.4486,430.1151,455.9616,475.4249,493.3778,508.7518,516.8306,520.8629,531.9338,545.6978,562.4396,577.6853,580.1645,580.8769,581.0764,590.3521,644.7951,693.6384,732.6932,771.6054,791.7383,801.47,841.2656,877.8839,915.4568,953.2007,986.6843,994.8202,999.8926,1000.9754,1068.7691,1117.1138,1164.3613,1199.3553,1210.583,1213.3044,1262.0196,1308.6972
Maranhão,,,,,,,,,,,,,,,,,,,,,,,,,0.0141,0.0283,0.0283,0.1131,0.1131,0.1131,0.1413,0.1837,0.212,0.2968,0.424,0.7208,0.9894,1.1307,1.2297,1.3427,1.8657,2.4169,3.2367,3.8444,4.1412,4.8621,5.6253,6.2896,6.756,8.9044,9.8231,11.2647,14.6993,17.0314,18.6568,19.7309,22.6708,24.8333,27.5753,29.7519,31.4197,34.0627,35.7305,39.6315,45.0872,49.5535,53.7795,57.101,59.7441,64.0266,71.0653,76.1677,83.5173,95.6159,107.4036,115.1066,120.5058,128.7882,138.5265,151.7841,163.8403,176.5609,187.1048,200.6733,213.62,226.9624,243.2729,265.2512,299.5118,322.0554,343.1432,369.5312,395.4528,430.83,461.0483,489.5846,498.8848,517.6546,539.548,574.2468,612.1822,642.6691,672.6754,686.0178,697.8055,735.9388,756.2775,786.9763,814.1841,831.908,845.9148,856.4021,886.3519,914.9589,934.1245,968.1731,984.7522,990.2079,999.1122,1017.9386,1036.2138,1058.9835,1084.0429,1104.0707,1109.6819,1116.1411,1137.0875,1176.7331,1215.87,1246.8091,1258.724,1268.01,1275.5999,1301.5639,1313.5918,1347.2871,1367.0039,1390.7489,1398.5791,1410.9886,1434.1259,1448.288,1471.7079,1486.6475,1499.4952,1502.7884,1511.0002,1528.6393,1550.9285,1575.7618,1592.6518,1605.0897,1609.7256,1619.5345,1639.3644,1663.4769,1685.6389,1705.4122,1718.4154,1723.6732,1731.1501,1751.0082,1773.2267,1795.9258,1821.0983,1833.1686,1839.331,1845.4086,1866.5247
