Estado Nome,26/02/20,27/02/20,28/02/20,29/02/20,01/03/20,02/03/20,03/03/20,04/03/20,05/03/20,06/03/20,07/03/20,08/03/20,09/03/20,10/03/20,11/03/20,12/03/20,13/03/20,14/03/20,15/03/20,16/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20
Acre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3402,0.7937,1.0205,1.2473,1.2473,1.9276,2.6079,2.7213,2.8347,2.8347,3.8552,4.7623,4.7623,4.8756,4.8756,5.2158,5.2158,5.4426,5.6694,5.6694,6.1229,7.03,7.9371,8.1639,8.7308
Alagoas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.1199,0.1498,0.2097,0.2097,0.2097,0.2697,0.3296,0.3296,0.3296,0.4195,0.5094,0.5094,0.5393,0.5393,0.5393,0.6592,0.6892,0.839,0.9289,0.9588,1.1087,1.1087,1.3484,1.4383,1.4383
Amazonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241,0.0241,0.0241,0.0241,0.0724,0.0724,0.2654,0.6273,0.7721,1.134,1.3029,1.6166,1.9544,2.6782,3.3779,3.6433,4.2224,4.8256,5.5253,6.2732,7.5037,10.0613,12.836,15.3453,19.3987,21.6909,23.6694,25.3342,29.0981
Amapá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1182,0.1182,0.1182,0.1182,0.1182,0.1182,0.2365,0.2365,0.473,0.473,0.9459,1.1824,1.3006,1.3006,2.2466,3.3107,3.429,4.0202,5.6756,12.6518,15.1348,19.628,22.8205,27.1954
Bahia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0202,0.0202,0.2017,0.2219,0.2757,0.3295,0.4236,0.511,0.5648,0.6993,0.7732,0.8539,1.0354,1.1833,1.4321,1.654,1.7952,1.896,2.2322,2.6961,2.8979,3.0659,3.3416,3.7585,4.061,4.2695,4.525
Ceará,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0548,0.0986,0.219,0.6023,0.7446,1.2264,1.7849,1.993,2.1901,2.5733,3.088,3.4384,3.8107,4.0736,4.2707,4.862,6.0227,6.8659,7.9938,9.0122,11.0928,11.5089,14.137,15.6043,16.1847,17.3235,18.3529
Distrito Federal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0332,0.0332,0.0332,0.0332,0.0663,0.0663,0.0663,0.199,0.2653,0.4311,0.7296,0.8623,1.3929,2.8853,3.3165,3.8803,4.4109,5.3063,5.3063,6.6329,7.6278,8.6228,9.5846,10.3473,11.0106,11.7734,12.2709,13.3321,15.0567,15.521,15.6868,16.317,16.8808,17.4777,18.4063,19.2023,20.363
Espírito Santo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.0249,0.224,0.2737,0.3235,0.647,0.647,0.7216,0.8212,0.9705,0.9705,1.1695,1.3189,1.493,1.7916,2.0903,2.3889,2.9861,3.4589,3.8072,4.1307,4.8275,5.2008,5.6487,6.7933,7.4652,8.6845,9.5306
Goiás,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0427,0.0427,0.0427,0.0427,0.0855,0.114,0.171,0.2137,0.285,0.2992,0.3277,0.3847,0.4132,0.5557,0.6982,0.7979,0.8264,0.8691,0.9261,1.0116,1.0401,1.2539,1.4676,1.6386,1.6956,1.895,2.2512,2.5505,2.7214,2.9779,3.2629
Maranhão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0283,0.0283,0.1131,0.1131,0.1413,0.1837,0.1979,0.2261,0.3251,0.4382,0.735,1.0035,1.1448,1.2438,1.3569,1.8798,2.431,3.2508,3.8586,4.1412,4.8621,5.6253
