Estado Nome,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Acre,,,,17.0,41.0,50.0,90.0,176.0,301.0,733.0,1460.0,2234.0,4501.0,6326.0,8127.0,9771.0,11539.0,13146.0,14688.0,16260.0,17462.0,18783.0,20339.0,21619.0,22605.0,23729.0,24647.0,25469.0,26176.0,27106.0,27885.0,28687.0,29063.0,29765.0,30317.0,30954.0,31788.0,33295.0,34849.0,36259.0,37428.0,38628.0,40249.0,41010.0,42117.0,43346.0,44775.0,46539.0,48820.0,50694.0,53455.0,54969.0,57894.0,60656.0,62940.0,65959.0
Alagoas,,1.0,1.0,8.0,17.0,31.0,58.0,171.0,643.0,1538.0,2343.0,4031.0,6682.0,10837.0,16339.0,22926.0,29395.0,35116.0,40569.0,46296.0,50307.0,56204.0,62778.0,68237.0,72938.0,76495.0,78804.0,80786.0,82332.0,84720.0,86393.0,88135.0,88880.0,89528.0,90254.0,90918.0,91848.0,92642.0,93569.0,94984.0,96784.0,98928.0,101443.0,103748.0,106032.0,108820.0,111724.0,114836.0,118220.0,121145.0,125044.0,128501.0,132245.0,136107.0,141390.0,147882.0
Amazonas,,,2.0,32.0,151.0,532.0,1275.0,2160.0,3928.0,7313.0,12919.0,20913.0,30282.0,41774.0,49817.0,56777.0,63425.0,69893.0,76427.0,84412.0,91389.0,97079.0,102386.0,107197.0,112263.0,115792.0,120296.0,123905.0,127407.0,131920.0,136708.0,142573.0,147465.0,151858.0,157668.0,162139.0,165969.0,169552.0,173780.0,178200.0,182875.0,187279.0,192327.0,196754.0,202972.0,216112.0,232434.0,250935.0,268717.0,283658.0,295879.0,307164.0,316668.0,324564.0,332309.0,339510.0
Amapá,,,,1.0,8.0,39.0,244.0,435.0,842.0,1733.0,2671.0,4023.0,6584.0,9890.0,13294.0,16813.0,24862.0,28253.0,30004.0,31552.0,34145.0,35364.0,36804.0,38399.0,39703.0,41254.0,43193.0,44863.0,45955.0,46946.0,47935.0,48701.0,49424.0,50263.0,51192.0,52653.0,53330.0,55156.0,56922.0,59131.0,61393.0,63601.0,65422.0,67149.0,68775.0,71287.0,73626.0,75400.0,77404.0,78990.0,80663.0,82374.0,83885.0,85879.0,88363.0,92462.0
Bahia,,2.0,10.0,63.0,176.0,437.0,723.0,1377.0,2356.0,3734.0,5808.0,8881.0,14204.0,18898.0,28715.0,37620.0,47086.0,69467.0,88279.0,106891.0,123292.0,149109.0,171391.0,194097.0,217115.0,237208.0,256727.0,271963.0,283235.0,295996.0,306629.0,316005.0,326634.0,336232.0,345949.0,354576.0,363986.0,374721.0,386321.0,403071.0,424704.0,447126.0,471177.0,484485.0,496823.0,513756.0,540320.0,566743.0,589234.0,609755.0,631645.0,655481.0,686057.0,715418.0,744227.0,770430.0
Ceará,,,9.0,164.0,382.0,1045.0,1935.0,3485.0,6783.0,11040.0,17599.0,26363.0,36185.0,50504.0,66218.0,79853.0,94708.0,108225.0,123394.0,137234.0,147818.0,162429.0,176972.0,189023.0,198252.0,205875.0,214953.0,222473.0,227799.0,234120.0,239465.0,254588.0,260336.0,265875.0,270867.0,274673.0,278986.0,286674.0,293249.0,301251.0,308273.0,316681.0,324894.0,329896.0,336975.0,345235.0,356117.0,365640.0,375024.0,384819.0,396495.0,411904.0,428314.0,448542.0,474978.0,511019.0
Distrito Federal,,1.0,19.0,138.0,312.0,485.0,641.0,875.0,1189.0,1793.0,2799.0,4618.0,6930.0,10510.0,16948.0,23684.0,34148.0,47071.0,60383.0,72284.0,84287.0,98480.0,112044.0,126069.0,138735.0,150519.0,162042.0,170806.0,177921.0,184555.0,190505.0,195967.0,200412.0,205709.0,210145.0,213636.0,216861.0,220403.0,224517.0,229146.0,234376.0,240132.0,245243.0,249736.0,254310.0,259797.0,265274.0,271319.0,277907.0,281546.0,285576.0,290771.0,298836.0,308539.0,319936.0,330756.0
Espírito Santo,,1.0,8.0,33.0,85.0,209.0,463.0,1212.0,1944.0,3351.0,4819.0,7157.0,10365.0,14285.0,20659.0,27652.0,36147.0,45097.0,54547.0,63881.0,71703.0,78180.0,85215.0,93069.0,100859.0,106494.0,111263.0,115793.0,120252.0,125185.0,129796.0,135001.0,139755.0,145415.0,151276.0,156681.0,163072.0,171237.0,179517.0,190001.0,202147.0,215538.0,230420.0,242553.0,253115.0,265556.0,277357.0,287205.0,295359.0,303740.0,311278.0,318812.0,327515.0,336218.0,346544.0,361717.0
Goiás,,,9.0,23.0,60.0,119.0,233.0,403.0,616.0,861.0,1100.0,1781.0,2515.0,4017.0,6302.0,10441.0,17085.0,23379.0,30187.0,37333.0,41433.0,59043.0,70252.0,88573.0,104588.0,120223.0,133796.0,147933.0,168026.0,186596.0,204932.0,219323.0,229149.0,239808.0,249341.0,256256.0,262722.0,268997.0,274139.0,279892.0,287245.0,294282.0,301502.0,306395.0,311067.0,319768.0,330106.0,340899.0,352399.0,362898.0,373530.0,383150.0,398652.0,416763.0,439021.0,455997.0
Maranhão,,,,8.0,30.0,171.0,478.0,1396.0,2528.0,4530.0,8526.0,14198.0,24278.0,36625.0,49371.0,60592.0,70689.0,78969.0,90251.0,99830.0,106906.0,114585.0,122482.0,130566.0,137408.0,144895.0,151615.0,158310.0,162998.0,167948.0,172176.0,175753.0,178890.0,181545.0,184122.0,185986.0,187919.0,189705.0,191366.0,193170.0,195221.0,197267.0,199198.0,200220.0,201093.0,202050.0,203581.0,205621.0,207649.0,210017.0,213087.0,216210.0,219632.0,223822.0,228827.0,234635.0
