Estado Nome,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Acre,,,,1.9276,4.6489,5.6694,10.2048,19.9561,34.1295,83.1127,165.5451,253.3066,510.3551,717.2864,921.4965,1107.9048,1308.3731,1490.586
Alagoas,,0.03,0.03,0.2397,0.5094,0.9289,1.7379,5.1238,19.2667,46.0844,70.2053,120.7842,200.2183,324.718,489.579,686.9508,880.7868,1052.2099
Amazonas,,,0.0483,0.7721,3.6433,12.836,30.7629,52.116,94.774,176.4466,311.707,504.5846,730.638,1007.9146,1201.9745,1369.904,1537.6887,1686.3642
Amapá,,,,0.1182,0.9459,4.6114,28.8508,51.4348,99.5588,204.9115,315.8215,475.6832,778.4981,1169.4026,1571.8946,1987.9844,2939.7054,3340.6603
Bahia,,0.0134,0.0672,0.4236,1.1833,2.9382,4.8611,9.2583,15.8407,25.1058,39.0505,59.712,95.5015,127.0619,193.0671,252.9405,316.5857,467.0658
Ceará,,,0.0986,1.7959,4.1831,11.4432,21.189,38.1622,74.2766,120.8925,192.7163,288.6857,396.2406,553.0395,725.1143,874.4231,1037.0914,1185.1081
Distrito Federal,,0.0332,0.6301,4.5767,10.3473,16.0848,21.2585,29.019,39.4326,59.464,92.8276,153.1539,229.8303,348.5594,562.0728,785.4692,1132.503,1561.0884
Espírito Santo,,0.0249,0.1991,0.8212,2.1151,5.2008,11.5213,30.1594,48.3745,83.3862,119.9159,178.0946,257.9224,355.4676,514.0781,688.0918,899.4812,1122.1928
Goiás,,,0.1282,0.3277,0.8549,1.6956,3.3199,5.7421,8.777,12.2678,15.6732,25.3763,35.8346,57.2356,89.7931,148.7671,243.4331,333.1123
Maranhão,,,,0.1131,0.424,2.4169,6.756,19.7309,35.7305,64.0266,120.5058,200.6733,343.1432,517.6546,697.8055,856.4021,999.1122,1116.1411
Minas Gerais,,0.0047,0.0283,0.6047,1.2329,2.4801,3.85,5.6168,7.4922,11.0871,15.6835,22.1789,32.888,50.4044,75.0303,102.6417,136.6068,207.2107
Mato Grosso do Sul,,,0.1439,0.7557,1.5833,2.375,4.0662,6.1533,8.5643,9.8597,13.854,22.0584,39.5828,59.2302,88.3416,136.2008,208.1335,276.2159
Mato Grosso,,,,0.1722,0.5166,2.1811,3.8456,5.1945,7.3469,9.8724,15.6408,27.0056,45.7459,75.65,121.769,183.3853,294.7367,432.9501
Pará,,,,0.0581,0.3022,1.4298,3.6035,10.4849,25.7937,49.5416,93.7943,179.7889,318.1033,465.1241,669.1957,828.1311,1030.3079,1199.6701
Paraíba,,,0.0,0.0498,0.4231,0.8959,3.3847,6.5453,15.7536,33.8715,62.8402,119.1102,199.4959,340.8304,521.4121,713.4667,927.1235,1121.3434
Pernambuco,,,0.0837,0.4395,0.8057,2.3334,12.0748,28.1467,56.0632,92.7376,144.0609,210.2527,296.8064,365.1746,425.915,476.1605,549.2687,611.8611
Piauí,,,,0.1833,0.5499,0.7943,1.772,5.6825,12.4648,26.732,44.0849,74.5442,113.6493,168.2132,242.1769,332.4242,466.4815,623.9103
Paraná,,,0.0525,0.5248,1.3993,4.0756,6.7168,8.9383,10.5038,13.8272,16.381,20.9026,29.5961,42.8548,62.2794,86.0507,132.2727,186.5146
Rio de Janeiro,,0.0174,0.1448,1.3496,3.8054,8.4622,18.6563,28.3754,46.0123,67.889,103.9042,154.4459,227.6173,315.8423,402.544,468.846,565.1452,648.0357
Rio Grande do Norte,,,0.0285,0.3707,2.1957,7.0148,10.7219,17.3375,24.4379,43.8,57.9722,99.3198,156.0373,234.7689,314.4415,433.7792,572.4506,826.0968
Rondônia,,,,0.1688,0.4501,1.0128,2.3632,11.1972,22.1131,42.5382,78.662,114.9545,183.8822,278.074,485.3634,685.3381,890.5457,1148.1945
Roraima,,,,0.3302,2.6413,6.9334,18.6542,40.7752,70.1597,95.4172,213.7807,310.6836,423.2692,635.5642,999.7342,1144.841,1706.9438,2386.915
Rio Grande do Sul,,,0.0703,0.8438,2.2325,4.4035,6.0208,7.9457,11.0396,15.5398,24.6809,32.9605,57.6502,83.4649,107.6711,135.692,173.2406,225.5292
Santa Catarina,,,0.0977,1.2003,3.0566,5.8201,11.5286,14.8364,20.6007,36.6096,49.2548,72.2282,95.9554,132.565,163.8848,194.8418,250.3493,349.7103
Sergipe,,,0.2175,0.435,0.7831,1.3921,1.9576,4.0023,9.1791,33.5843,78.3053,155.1314,237.0039,314.6567,423.153,681.9084,843.2607,1079.6121
São Paulo,0.0044,0.0348,0.331,1.6224,3.3036,10.5969,19.371,31.7515,47.2484,70.0951,100.4616,137.3417,182.114,242.3744,314.8867,395.1737,483.4007,599.1958
Tocantins,,,,0.445,0.6994,1.208,1.653,2.2252,5.0227,19.2642,52.6428,104.6497,171.4068,276.2473,384.7753,464.6931,557.3266,658.6066
