Estado Nome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298
Acre,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,8.0,8.0,8.0,10.0,11.0,11.0,11.0,14.0,16.0,18.0,19.0,19.0,22.0,25.0,28.0,29.0,35.0,36.0,38.0,40.0,41.0,44.0,51.0,52.0,55.0,57.0,59.0,62.0,67.0,73.0,75.0,78.0,80.0,87.0,92.0,97.0,105.0,113.0,122.0,135.0,142.0,148.0,161.0,165.0,171.0,181.0,190.0,201.0,207.0,211.0,223.0,237.0,245.0,254.0,256.0,259.0,265.0,271.0,281.0,287.0,292.0,297.0,300.0,305.0,321.0,326.0,335.0,343.0,351.0,353.0,361.0,365.0,370.0,378.0,387.0,391.0,391.0,394.0,399.0,404.0,411.0,417.0,419.0,426.0,430.0,436.0,446.0,447.0,452.0,457.0,460.0,465.0,469.0,470.0,474.0,480.0,483.0,486.0,493.0,500.0,510.0,521.0,531.0,535.0,537.0,539.0,545.0,547.0,552.0,556.0,559.0,561.0,562.0,565.0,569.0,574.0,576.0,576.0,576.0,582.0,590.0,591.0,595.0,598.0,598.0,600.0,604.0,607.0,607.0,607.0,608.0,608.0,609.0,612.0,616.0,618.0,622.0,623.0,624.0,624.0,624.0,630.0,631.0,635.0,636.0,637.0,640.0,640.0,642.0,643.0,646.0,647.0,648.0,649.0,649.0,651.0,652.0,653.0,654.0,656.0,657.0,657.0,657.0,659.0,661.0,664.0,667.0,667.0,667.0,668.0,668.0,669.0,674.0,674.0,674.0,675.0,675.0,676.0,677.0,679.0,679.0,679.0,679.0,682.0,682.0,685.0,686.0,686.0,687.0,689.0,690.0,691.0,692.0,693.0,693.0,693.0,693.0,695.0,696.0,697.0,697.0,699.0,699.0,701.0,704.0,705.0,707.0,707.0,708.0,708.0,708.0,709.0,709.0,710.0,711.0,713.0,713.0,714.0,715.0,721.0,722.0,722.0,723.0,723.0,723.0,726.0,727.0,730.0,731.0,732.0,732.0,736.0,737.0,742.0,744.0,747.0,749.0,750.0,753.0,755.0,756.0,756.0,757.0,758.0
Alagoas,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,10.0,15.0,18.0,19.0,20.0,22.0,27.0,29.0,32.0,34.0,36.0,41.0,47.0,53.0,58.0,64.0,72.0,80.0,89.0,98.0,108.0,114.0,126.0,138.0,150.0,164.0,177.0,187.0,199.0,210.0,221.0,234.0,251.0,262.0,280.0,301.0,316.0,337.0,352.0,368.0,385.0,406.0,424.0,443.0,461.0,482.0,506.0,531.0,557.0,582.0,601.0,622.0,640.0,660.0,681.0,701.0,723.0,744.0,768.0,793.0,811.0,831.0,848.0,866.0,884.0,903.0,920.0,938.0,958.0,975.0,993.0,1012.0,1032.0,1052.0,1072.0,1091.0,1113.0,1134.0,1153.0,1172.0,1192.0,1213.0,1230.0,1246.0,1264.0,1281.0,1297.0,1314.0,1331.0,1348.0,1365.0,1381.0,1397.0,1413.0,1428.0,1443.0,1457.0,1471.0,1486.0,1500.0,1514.0,1527.0,1540.0,1554.0,1567.0,1581.0,1594.0,1607.0,1621.0,1633.0,1643.0,1654.0,1665.0,1677.0,1688.0,1700.0,1711.0,1721.0,1732.0,1742.0,1753.0,1763.0,1774.0,1784.0,1793.0,1802.0,1810.0,1818.0,1827.0,1836.0,1844.0,1853.0,1861.0,1870.0,1878.0,1887.0,1895.0,1902.0,1910.0,1917.0,1924.0,1930.0,1936.0,1943.0,1949.0,1957.0,1965.0,1972.0,1979.0,1985.0,1991.0,1996.0,2002.0,2008.0,2014.0,2019.0,2024.0,2029.0,2034.0,2040.0,2046.0,2052.0,2055.0,2062.0,2067.0,2072.0,2078.0,2085.0,2091.0,2097.0,2103.0,2109.0,2115.0,2121.0,2126.0,2132.0,2138.0,2144.0,2151.0,2157.0,2162.0,2167.0,2172.0,2177.0,2182.0,2187.0,2192.0,2196.0,2201.0,2206.0,2211.0,2216.0,2221.0,2226.0,2230.0,2234.0,2238.0,2242.0,2246.0,2250.0,2254.0,2258.0,2262.0,2266.0,2270.0,2274.0,2278.0,2282.0,2285.0,2288.0,2291.0,2295.0,2298.0,2301.0,2304.0,2308.0,2311.0,2314.0,2317.0,2321.0,2324.0,2326.0,2329.0,2331.0,2334.0,2336.0,2339.0,2341.0,2344.0,2346.0,2349.0,2351.0,2354.0,2357.0,2360.0,2363.0,2366.0,2369.0,2372.0,2376.0,2380.0,2384.0,2389.0,2394.0,2399.0,2404.0
Amazonas,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,7.0,12.0,15.0,19.0,23.0,30.0,40.0,50.0,53.0,62.0,71.0,90.0,106.0,124.0,145.0,161.0,182.0,185.0,193.0,206.0,234.0,255.0,287.0,304.0,320.0,351.0,380.0,425.0,476.0,501.0,548.0,585.0,649.0,751.0,806.0,874.0,962.0,1004.0,1035.0,1098.0,1160.0,1235.0,1331.0,1375.0,1413.0,1433.0,1491.0,1561.0,1620.0,1669.0,1744.0,1758.0,1781.0,1852.0,1891.0,1964.0,2011.0,2047.0,2052.0,2071.0,2102.0,2138.0,2158.0,2199.0,2232.0,2250.0,2271.0,2315.0,2363.0,2400.0,2429.0,2465.0,2492.0,2512.0,2550.0,2579.0,2605.0,2624.0,2650.0,2657.0,2671.0,2686.0,2710.0,2731.0,2739.0,2772.0,2782.0,2792.0,2823.0,2843.0,2862.0,2887.0,2918.0,2929.0,2938.0,2952.0,2967.0,2985.0,3008.0,3023.0,3039.0,3048.0,3064.0,3080.0,3094.0,3118.0,3129.0,3149.0,3146.0,3169.0,3183.0,3193.0,3199.0,3210.0,3217.0,3224.0,3236.0,3246.0,3252.0,3268.0,3278.0,3283.0,3288.0,3299.0,3317.0,3335.0,3345.0,3355.0,3359.0,3384.0,3405.0,3417.0,3435.0,3455.0,3463.0,3483.0,3505.0,3524.0,3537.0,3551.0,3556.0,3557.0,3563.0,3572.0,3588.0,3600.0,3616.0,3629.0,3634.0,3639.0,3649.0,3661.0,3819.0,3828.0,3834.0,3841.0,3847.0,3849.0,3855.0,3863.0,3874.0,3883.0,3888.0,3892.0,3898.0,3907.0,3920.0,3931.0,3950.0,3956.0,3959.0,3964.0,3967.0,3984.0,3992.0,4000.0,4022.0,4027.0,4031.0,4035.0,4042.0,4159.0,4162.0,4169.0,4176.0,4185.0,4193.0,4202.0,4215.0,4223.0,4235.0,4239.0,4247.0,4254.0,4268.0,4289.0,4305.0,4325.0,4332.0,4350.0,4363.0,4371.0,4396.0,4426.0,4433.0,4446.0,4460.0,4478.0,4491.0,4516.0,4528.0,4543.0,4555.0,4565.0,4573.0,4588.0,4607.0,4607.0,4622.0,4625.0,4644.0,4650.0,4655.0,4681.0,4683.0,4693.0,4697.0,4699.0,4723.0,4728.0,4741.0,4761.0,4771.0,4779.0,4797.0,4818.0,4826.0,4856.0,4869.0,4876.0,4885.0,4894.0,4896.0,4912.0,4932.0,4936.0,4946.0,4951.0,4964.0,4969.0,4972.0,4978.0,4987.0,4998.0,5001.0,5011.0,5026.0,5036.0,5049.0,5062.0,5076.0
Amapá,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,7.0,7.0,10.0,10.0,10.0,11.0,13.0,13.0,14.0,16.0,18.0,20.0,23.0,26.0,28.0,31.0,34.0,37.0,40.0,43.0,49.0,55.0,56.0,61.0,66.0,69.0,72.0,73.0,86.0,94.0,101.0,103.0,108.0,119.0,127.0,136.0,142.0,151.0,157.0,162.0,163.0,168.0,173.0,183.0,198.0,207.0,215.0,222.0,228.0,237.0,247.0,254.0,260.0,269.0,272.0,278.0,285.0,289.0,303.0,312.0,319.0,324.0,329.0,337.0,338.0,342.0,348.0,353.0,359.0,372.0,380.0,387.0,394.0,401.0,406.0,407.0,413.0,417.0,420.0,427.0,438.0,441.0,442.0,449.0,455.0,462.0,467.0,470.0,473.0,474.0,478.0,483.0,488.0,493.0,499.0,505.0,507.0,515.0,533.0,544.0,548.0,552.0,554.0,554.0,556.0,558.0,559.0,561.0,565.0,568.0,571.0,576.0,581.0,588.0,594.0,599.0,601.0,602.0,603.0,604.0,606.0,609.0,612.0,613.0,613.0,617.0,619.0,622.0,626.0,627.0,630.0,631.0,637.0,642.0,647.0,652.0,657.0,659.0,660.0,661.0,663.0,668.0,669.0,670.0,671.0,672.0,673.0,675.0,675.0,676.0,677.0,678.0,678.0,680.0,682.0,685.0,688.0,690.0,691.0,691.0,693.0,695.0,697.0,698.0,699.0,702.0,702.0,704.0,705.0,709.0,712.0,713.0,715.0,716.0,718.0,721.0,722.0,724.0,725.0,725.0,725.0,726.0,727.0,728.0,729.0,730.0,731.0,731.0,734.0,734.0,736.0,738.0,740.0,741.0,741.0,741.0,743.0,744.0,746.0,747.0,748.0,748.0,749.0,751.0,751.0,751.0,751.0,751.0,751.0,764.0,766.0,770.0,771.0,774.0,777.0,777.0,780.0,782.0,783.0,785.0,787.0,789.0,789.0,792.0,795.0,799.0,802.0,805.0,806.0,806.0,807.0,810.0,814.0,819.0,823.0,826.0,826.0,830.0,833.0,838.0,841.0,846.0,849.0,849.0,854.0,858.0,861.0,864.0,864.0,875.0
Bahia,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,6.0,7.0,9.0,10.0,14.0,18.0,19.0,19.0,21.0,21.0,22.0,26.0,28.0,34.0,36.0,40.0,45.0,47.0,48.0,53.0,62.0,67.0,72.0,74.0,83.0,93.0,100.0,106.0,117.0,123.0,128.0,141.0,146.0,160.0,165.0,183.0,196.0,202.0,214.0,225.0,236.0,262.0,281.0,286.0,295.0,312.0,326.0,362.0,376.0,399.0,413.0,460.0,477.0,495.0,531.0,570.0,609.0,638.0,667.0,701.0,736.0,762.0,790.0,819.0,846.0,879.0,910.0,937.0,975.0,1013.0,1039.0,1069.0,1105.0,1145.0,1181.0,1222.0,1263.0,1305.0,1350.0,1391.0,1441.0,1491.0,1541.0,1601.0,1642.0,1697.0,1748.0,1800.0,1853.0,1902.0,1947.0,2001.0,2050.0,2107.0,2168.0,2216.0,2277.0,2328.0,2383.0,2436.0,2483.0,2535.0,2584.0,2638.0,2693.0,2738.0,2793.0,2840.0,2891.0,2936.0,2988.0,3044.0,3096.0,3140.0,3182.0,3227.0,3270.0,3321.0,3391.0,3463.0,3517.0,3572.0,3624.0,3678.0,3736.0,3789.0,3843.0,3899.0,3953.0,4011.0,4067.0,4104.0,4202.0,4271.0,4338.0,4406.0,4475.0,4542.0,4611.0,4685.0,4757.0,4832.0,4905.0,4981.0,5051.0,5116.0,5178.0,5243.0,5302.0,5344.0,5397.0,5448.0,5502.0,5549.0,5590.0,5627.0,5658.0,5693.0,5734.0,5774.0,5818.0,5866.0,5912.0,5961.0,5999.0,6040.0,6085.0,6132.0,6181.0,6221.0,6265.0,6313.0,6359.0,6408.0,6455.0,6503.0,6552.0,6599.0,6648.0,6697.0,6744.0,6795.0,6844.0,6890.0,6925.0,6953.0,6985.0,7021.0,7049.0,7075.0,7099.0,7128.0,7159.0,7188.0,7214.0,7243.0,7267.0,7288.0,7316.0,7342.0,7363.0,7384.0,7407.0,7432.0,7453.0,7475.0,7497.0,7519.0,7546.0,7571.0,7600.0,7622.0,7645.0,7667.0,7690.0,7711.0,7731.0,7754.0,7776.0,7796.0,7818.0,7838.0,7859.0,7882.0,7902.0,7922.0,7943.0,7967.0,7989.0,8013.0,8038.0,8061.0,8081.0,8102.0,8123.0,8143.0,8165.0,8185.0,8207.0,8227.0,8247.0,8268.0,8293.0,8315.0,8336.0,8360.0,8388.0,8418.0,8445.0,8474.0,8502.0,8531.0,8561.0,8589.0,8610.0,8635.0,8665.0,8691.0,8720.0,8748.0,8777.0
Ceará,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,5.0,5.0,7.0,9.0,21.0,22.0,23.0,35.0,35.0,40.0,57.0,57.0,67.0,74.0,76.0,101.0,111.0,124.0,135.0,155.0,180.0,189.0,206.0,221.0,239.0,271.0,293.0,326.0,376.0,397.0,417.0,450.0,492.0,539.0,638.0,677.0,712.0,795.0,849.0,903.0,997.0,1062.0,1114.0,1189.0,1280.0,1389.0,1413.0,1566.0,1614.0,1641.0,1748.0,1856.0,1900.0,2161.0,2251.0,2308.0,2324.0,2493.0,2603.0,2671.0,2733.0,2859.0,2956.0,3010.0,3188.0,3504.0,3605.0,3813.0,3907.0,3965.0,3982.0,4192.0,4359.0,4519.0,4708.0,4812.0,4829.0,4885.0,5041.0,5192.0,5307.0,5393.0,5497.0,5520.0,5523.0,5618.0,5728.0,5815.0,5895.0,5962.0,5987.0,5995.0,6076.0,6146.0,6203.0,6307.0,6373.0,6441.0,6439.0,6504.0,6563.0,6678.0,6774.0,6842.0,6867.0,6869.0,6975.0,6977.0,7081.0,7139.0,7166.0,7178.0,7179.0,7256.0,7305.0,7329.0,7411.0,7456.0,7480.0,7494.0,7509.0,7616.0,7648.0,7664.0,7692.0,7704.0,7710.0,7761.0,7821.0,7873.0,7921.0,7946.0,7954.0,7979.0,7994.0,8043.0,8076.0,8113.0,8127.0,8129.0,8133.0,8172.0,8202.0,8241.0,8245.0,8268.0,8288.0,8289.0,8335.0,8346.0,8362.0,8374.0,8380.0,8382.0,8384.0,8409.0,8459.0,8481.0,8532.0,8563.0,8565.0,8566.0,8567.0,8588.0,8634.0,8657.0,8683.0,8685.0,8686.0,8698.0,8749.0,8764.0,8781.0,8795.0,8801.0,8815.0,8834.0,8850.0,8876.0,8891.0,8905.0,8918.0,8921.0,8948.0,8957.0,8994.0,9047.0,9047.0,9051.0,9054.0,9067.0,9090.0,9104.0,9124.0,9129.0,9133.0,9134.0,9135.0,9140.0,9184.0,9199.0,9202.0,9207.0,9210.0,9217.0,9227.0,9243.0,9243.0,9245.0,9248.0,9259.0,9293.0,9323.0,9326.0,9335.0,9344.0,9353.0,9360.0,9362.0,9365.0,9385.0,9392.0,9393.0,9395.0,9402.0,9407.0,9416.0,9418.0,9430.0,9435.0,9439.0,9439.0,9443.0,9448.0,9466.0,9473.0,9487.0,9487.0,9485.0,9514.0,9522.0,9532.0,9565.0,9598.0,9607.0,9607.0,9628.0,9638.0,9640.0,9657.0,9683.0,9693.0,9704.0,9737.0,9738.0,9762.0,9772.0,9774.0,9774.0,9786.0,9802.0,9857.0,9875.0,9897.0,9909.0,9912.0
Distrito Federal,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,7.0,10.0,12.0,12.0,13.0,14.0,14.0,14.0,15.0,17.0,17.0,20.0,24.0,24.0,24.0,24.0,24.0,25.0,26.0,26.0,27.0,27.0,28.0,28.0,28.0,30.0,31.0,32.0,33.0,33.0,34.0,35.0,35.0,37.0,39.0,42.0,44.0,46.0,48.0,51.0,55.0,56.0,58.0,66.0,72.0,78.0,84.0,90.0,95.0,104.0,114.0,124.0,133.0,142.0,154.0,162.0,170.0,173.0,177.0,191.0,196.0,202.0,208.0,214.0,226.0,236.0,256.0,274.0,282.0,293.0,304.0,319.0,348.0,365.0,379.0,396.0,405.0,423.0,449.0,475.0,495.0,509.0,532.0,537.0,548.0,559.0,587.0,620.0,631.0,643.0,671.0,699.0,726.0,767.0,801.0,823.0,856.0,871.0,902.0,930.0,960.0,1001.0,1037.0,1060.0,1075.0,1085.0,1112.0,1158.0,1176.0,1218.0,1244.0,1275.0,1308.0,1339.0,1391.0,1419.0,1444.0,1469.0,1490.0,1523.0,1546.0,1572.0,1605.0,1651.0,1682.0,1712.0,1731.0,1762.0,1815.0,1870.0,1905.0,1935.0,1958.0,1976.0,2042.0,2097.0,2148.0,2200.0,2242.0,2257.0,2274.0,2316.0,2344.0,2399.0,2425.0,2440.0,2450.0,2469.0,2521.0,2573.0,2609.0,2641.0,2681.0,2700.0,2710.0,2720.0,2763.0,2813.0,2843.0,2867.0,2883.0,2899.0,2930.0,2970.0,3000.0,3022.0,3037.0,3048.0,3062.0,3097.0,3131.0,3148.0,3164.0,3175.0,3183.0,3188.0,3203.0,3224.0,3255.0,3276.0,3291.0,3309.0,3325.0,3346.0,3364.0,3378.0,3391.0,3398.0,3412.0,3424.0,3439.0,3466.0,3488.0,3499.0,3526.0,3539.0,3545.0,3561.0,3575.0,3587.0,3600.0,3613.0,3623.0,3633.0,3641.0,3653.0,3661.0,3670.0,3676.0,3683.0,3688.0,3695.0,3707.0,3719.0,3728.0,3733.0,3740.0,3752.0,3759.0,3775.0,3788.0,3797.0,3808.0,3813.0,3817.0,3825.0,3837.0,3845.0,3852.0,3857.0,3862.0,3867.0,3882.0,3898.0,3906.0,3910.0,3915.0,3920.0,3925.0,3930.0,3939.0,3955.0,3962.0,3968.0,3978.0,3985.0,4001.0,4011.0,4032.0,4043.0,4051.0,4059.0,4066.0,4086.0,4095.0,4107.0,4123.0,4132.0,4138.0
Espírito Santo,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,14.0,17.0,18.0,21.0,28.0,28.0,30.0,34.0,34.0,34.0,37.0,43.0,47.0,52.0,57.0,63.0,77.0,84.0,93.0,101.0,104.0,115.0,123.0,133.0,146.0,157.0,165.0,172.0,181.0,196.0,212.0,233.0,249.0,260.0,271.0,285.0,302.0,325.0,346.0,363.0,397.0,417.0,447.0,465.0,487.0,511.0,538.0,560.0,583.0,604.0,628.0,664.0,698.0,737.0,780.0,806.0,832.0,871.0,904.0,937.0,966.0,999.0,1028.0,1055.0,1087.0,1132.0,1179.0,1223.0,1267.0,1297.0,1328.0,1387.0,1425.0,1463.0,1490.0,1507.0,1507.0,1566.0,1620.0,1647.0,1692.0,1727.0,1758.0,1781.0,1803.0,1836.0,1879.0,1912.0,1929.0,1967.0,1995.0,2010.0,2040.0,2082.0,2096.0,2136.0,2174.0,2202.0,2222.0,2256.0,2280.0,2308.0,2341.0,2373.0,2386.0,2411.0,2437.0,2462.0,2490.0,2514.0,2544.0,2565.0,2578.0,2600.0,2627.0,2646.0,2666.0,2698.0,2720.0,2735.0,2764.0,2783.0,2804.0,2823.0,2849.0,2863.0,2874.0,2907.0,2937.0,2963.0,2979.0,3002.0,3015.0,3026.0,3045.0,3068.0,3086.0,3105.0,3117.0,3129.0,3135.0,3158.0,3184.0,3204.0,3221.0,3235.0,3242.0,3242.0,3268.0,3286.0,3298.0,3314.0,3332.0,3338.0,3346.0,3359.0,3376.0,3388.0,3399.0,3404.0,3408.0,3422.0,3432.0,3444.0,3452.0,3459.0,3485.0,3492.0,3504.0,3524.0,3538.0,3545.0,3551.0,3564.0,3572.0,3580.0,3594.0,3604.0,3617.0,3628.0,3640.0,3646.0,3650.0,3659.0,3680.0,3689.0,3694.0,3704.0,3709.0,3713.0,3728.0,3740.0,3755.0,3767.0,3773.0,3780.0,3787.0,3799.0,3817.0,3826.0,3841.0,3847.0,3855.0,3862.0,3863.0,3876.0,3884.0,3896.0,3910.0,3919.0,3926.0,3938.0,3953.0,3969.0,3982.0,3993.0,3998.0,4009.0,4030.0,4037.0,4058.0,4082.0,4101.0,4114.0,4128.0,4149.0,4172.0,4186.0,4207.0,4224.0,4245.0,4252.0,4279.0,4296.0,4322.0,4349.0,4373.0,4385.0,4397.0,4431.0,4455.0,4485.0,4514.0,4543.0,4560.0,4571.0,4609.0,4630.0,4663.0,4696.0,4727.0,4747.0
Goiás,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,7.0,7.0,8.0,10.0,14.0,15.0,15.0,15.0,16.0,16.0,18.0,18.0,19.0,19.0,21.0,23.0,24.0,25.0,25.0,26.0,27.0,27.0,29.0,29.0,30.0,30.0,30.0,38.0,45.0,44.0,49.0,47.0,47.0,49.0,52.0,61.0,67.0,67.0,69.0,70.0,73.0,73.0,78.0,85.0,95.0,95.0,95.0,96.0,104.0,108.0,115.0,119.0,124.0,124.0,127.0,155.0,159.0,164.0,167.0,172.0,173.0,173.0,184.0,189.0,194.0,206.0,211.0,216.0,238.0,249.0,255.0,275.0,289.0,295.0,306.0,324.0,355.0,375.0,384.0,425.0,434.0,436.0,467.0,491.0,521.0,572.0,602.0,621.0,621.0,654.0,726.0,748.0,795.0,835.0,847.0,851.0,880.0,910.0,959.0,1018.0,1051.0,1086.0,1106.0,1145.0,1178.0,1237.0,1295.0,1353.0,1380.0,1395.0,1457.0,1501.0,1554.0,1606.0,1677.0,1691.0,1701.0,1716.0,1817.0,1888.0,1924.0,1974.0,2017.0,2020.0,2072.0,2122.0,2182.0,2238.0,2286.0,2314.0,2330.0,2378.0,2464.0,2516.0,2625.0,2688.0,2735.0,2743.0,2804.0,2862.0,2933.0,2987.0,3044.0,3066.0,3089.0,3159.0,3242.0,3323.0,3385.0,3440.0,3450.0,3466.0,3481.0,3484.0,3605.0,3701.0,3761.0,3793.0,3805.0,3877.0,3927.0,3971.0,4057.0,4120.0,4142.0,4158.0,4216.0,4250.0,4307.0,4390.0,4474.0,4505.0,4522.0,4582.0,4651.0,4705.0,4771.0,4832.0,4832.0,4867.0,4927.0,4989.0,5065.0,5118.0,5160.0,5189.0,5199.0,5209.0,5252.0,5289.0,5333.0,5374.0,5374.0,5374.0,5432.0,5466.0,5491.0,5527.0,5563.0,5567.0,5578.0,5618.0,5648.0,5654.0,5732.0,5753.0,5755.0,5762.0,5762.0,5790.0,5825.0,5869.0,5874.0,5874.0,5874.0,5874.0,5874.0,5900.0,5936.0,6029.0,6030.0,6035.0,6060.0,6092.0,6130.0,6201.0,6224.0,6244.0,6245.0,6263.0,6281.0,6300.0,6305.0,6339.0,6348.0,6349.0,6373.0,6386.0,6401.0,6420.0,6438.0,6455.0,6460.0,6480.0,6504.0,6520.0,6531.0,6549.0,6549.0,6549.0,6573.0,6586.0,6631.0,6651.0,6659.0,6663.0
Maranhão,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,11.0,12.0,16.0,21.0,24.0,27.0,32.0,34.0,37.0,40.0,44.0,48.0,54.0,60.0,66.0,76.0,88.0,100.0,112.0,125.0,145.0,166.0,184.0,204.0,224.0,237.0,249.0,271.0,291.0,305.0,330.0,355.0,379.0,399.0,423.0,444.0,470.0,496.0,524.0,549.0,576.0,604.0,634.0,663.0,693.0,722.0,754.0,784.0,817.0,853.0,887.0,911.0,932.0,955.0,976.0,997.0,1028.0,1062.0,1095.0,1132.0,1170.0,1208.0,1247.0,1285.0,1322.0,1360.0,1399.0,1436.0,1467.0,1499.0,1537.0,1570.0,1607.0,1645.0,1684.0,1721.0,1760.0,1797.0,1836.0,1871.0,1906.0,1943.0,1982.0,2012.0,2048.0,2081.0,2119.0,2153.0,2185.0,2219.0,2250.0,2286.0,2324.0,2357.0,2392.0,2426.0,2463.0,2501.0,2536.0,2572.0,2608.0,2640.0,2676.0,2708.0,2740.0,2778.0,2810.0,2840.0,2871.0,2898.0,2923.0,2943.0,2959.0,2978.0,2996.0,3013.0,3032.0,3050.0,3069.0,3085.0,3103.0,3120.0,3138.0,3154.0,3169.0,3187.0,3204.0,3215.0,3228.0,3240.0,3253.0,3264.0,3277.0,3289.0,3302.0,3315.0,3328.0,3340.0,3352.0,3365.0,3377.0,3390.0,3402.0,3412.0,3424.0,3436.0,3446.0,3457.0,3467.0,3478.0,3488.0,3499.0,3508.0,3518.0,3529.0,3539.0,3550.0,3560.0,3569.0,3580.0,3590.0,3601.0,3611.0,3622.0,3632.0,3643.0,3653.0,3664.0,3674.0,3683.0,3693.0,3703.0,3714.0,3724.0,3735.0,3745.0,3756.0,3766.0,3776.0,3787.0,3796.0,3807.0,3817.0,3828.0,3838.0,3849.0,3860.0,3869.0,3876.0,3885.0,3896.0,3906.0,3914.0,3923.0,3930.0,3939.0,3949.0,3960.0,3968.0,3978.0,3987.0,3994.0,4003.0,4014.0,4024.0,4034.0,4044.0,4053.0,4061.0,4070.0,4081.0,4091.0,4101.0,4112.0,4119.0,4125.0,4130.0,4138.0,4146.0,4154.0,4162.0,4171.0,4178.0,4187.0,4195.0,4203.0,4210.0,4218.0,4224.0,4232.0,4241.0,4248.0,4256.0,4263.0,4272.0,4279.0,4287.0,4296.0,4305.0,4313.0,4322.0,4330.0,4335.0,4339.0,4344.0,4349.0,4355.0,4362.0,4368.0,4375.0,4380.0,4386.0,4393.0,4401.0,4408.0,4413.0,4420.0
