Estado Nome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Acre,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1134,0.2268,0.2268,0.2268,0.2268,0.2268,0.2268,0.3402,0.3402,0.4535,0.5669,0.5669,0.6803,0.6803,0.9071,0.9071,0.9071,1.1339,1.2473,1.2473,1.2473,1.5874,1.8142,2.041,2.1544,2.1544,2.4945,2.8347,3.1748,3.2882,3.9685,4.0819,4.3087,4.5355,4.6489,4.989,5.7827,5.8961,6.2363,6.4631,6.6898,7.03,7.5969,8.2773,8.504,8.8442,9.071,9.8647,10.4316,10.9985,11.9056,12.8127,13.8332,15.3073,16.101,16.7813,18.2553,18.7089,19.3892,20.5231,21.5435,22.7908,23.4711,23.9247,25.2853,26.8727,27.7798,28.8003,29.0271,29.3672,30.0476,30.7279,31.8618,32.5421,33.109,33.676,34.0161,34.583,36.3972,36.9642
Alagoas,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0599,0.0599,0.0599,0.0599,0.0599,0.0899,0.0899,0.0899,0.0899,0.0899,0.1199,0.1199,0.1498,0.1498,0.2097,0.2996,0.4495,0.5393,0.5693,0.5993,0.6592,0.809,0.869,0.9588,1.0188,1.0787,1.2285,1.4083,1.5881,1.7379,1.9177,2.1574,2.3971,2.6668,2.9365,3.2361,3.4159,3.7754,4.135,4.4946,4.9141,5.3036,5.6032,5.9628,6.2924,6.622,7.0115,7.5209,7.8505,8.3899,9.0191,9.4686,10.0978,10.5473,11.0267,11.5361,12.1653,12.7047,13.274,13.8133,14.4426,15.1617,15.9108,16.6899,17.4389,18.0083,18.6375,19.1769,19.7761,20.4054,21.0046,21.6638,22.2931,23.0122,23.7613,24.3007,24.8999,25.4093,25.9487,26.488,27.0573,27.5667,28.1061
Amazonas,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241,0.0241,0.0241,0.0241,0.0241,0.0241,0.0483,0.0724,0.0724,0.0724,0.1689,0.2895,0.3619,0.4584,0.5549,0.7238,0.9651,1.2064,1.2788,1.4959,1.7131,2.1715,2.5575,2.9918,3.4985,3.8846,4.3913,4.4636,4.6567,4.9703,5.6459,6.1526,6.9247,7.3349,7.7209,8.4689,9.1686,10.2543,11.4848,12.088,13.222,14.1148,15.6589,18.12,19.447,21.0877,23.2109,24.2243,24.9723,26.4923,27.9882,29.7978,32.1141,33.1757,34.0926,34.5751,35.9745,37.6635,39.087,40.2693,42.0789,42.4167,42.9716,44.6847,45.6257,47.387,48.521,49.3896,49.5102,49.9687,50.7166,51.5852,52.0678,53.057,53.8532,54.2875,54.7942,55.8559,57.014,57.9067,58.6064,59.475,60.1265,60.609,61.5259,62.2256,62.8529,63.3113,63.9387,64.1076,64.4453,64.8073,65.3863
Amapá,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1182,0.1182,0.2365,0.2365,0.2365,0.2365,0.2365,0.5912,0.5912,0.7094,0.8277,0.8277,1.1824,1.1824,1.1824,1.3006,1.5371,1.5371,1.6554,1.8919,2.1283,2.3648,2.7195,3.0743,3.3107,3.6655,4.0202,4.3749,4.7296,5.0844,5.7938,6.5032,6.6215,7.2127,7.8039,8.1586,8.5133,8.6316,10.1687,11.1146,11.9423,12.1788,12.77,14.0707,15.0166,16.0808,16.7902,17.8544,18.5638,18.5638,19.2733,19.8645,20.4557,21.6381,23.4117,24.4759,25.4218,26.2495,26.9589,28.0231,29.2055,30.0332,30.7426,31.8068,32.1615,32.871,33.6987,34.1716,35.827,36.8912,37.7188,38.3101,38.9013,39.8472,39.9654,40.4384,41.1478,41.739,42.4485,43.9856,44.9315,45.7592
Bahia,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0134,0.0134,0.0134,0.0202,0.0403,0.0471,0.0605,0.0672,0.0941,0.121,0.1277,0.1277,0.1412,0.1412,0.1479,0.1748,0.1883,0.2286,0.242,0.2689,0.3026,0.316,0.3227,0.3563,0.4169,0.4505,0.4841,0.4975,0.5581,0.6253,0.6724,0.7127,0.7867,0.827,0.8606,0.948,0.9816,1.0758,1.1094,1.2304,1.3178,1.3582,1.4388,1.5128,1.5868,1.7616,1.8893,1.9229,1.9835,2.0978,2.1919,2.4339,2.5281,2.6827,2.7768,3.0928,3.2071,3.3282,3.5702,3.8324,4.0947,4.2896,4.4846,4.7132,4.9485,5.1234,5.3116,5.5066,5.6881,5.91,6.1184,6.3,6.5555,6.811,6.9858,7.1875,7.4295,7.6985,7.9405,8.2162,8.4919,8.7743,9.0768,9.3525,9.6887,10.0248,10.361
Ceará,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329,0.0329,0.0438,0.0548,0.0548,0.0767,0.0986,0.23,0.2409,0.2519,0.3833,0.3833,0.438,0.6242,0.6242,0.7337,0.8103,0.8322,1.106,1.2155,1.3579,1.4783,1.6973,1.9711,2.0696,2.2558,2.42,2.6171,2.9676,3.2085,3.5698,4.1174,4.3473,4.5663,4.9277,5.3876,5.9023,6.9864,7.4134,7.7967,8.7056,9.2969,9.8882,10.9176,11.6293,12.1988,13.02,14.0165,15.2101,15.4729,17.1483,17.674,17.9696,19.1413,20.324,20.8058,23.6638,24.6494,25.2735,25.4488,27.2994,28.5039,29.2485,29.9275,31.3072,32.3694,32.9607,34.9099,38.3702,39.4762,41.7539,42.7833,43.4184,43.6045,45.9041,47.7328,49.4849,51.5545,52.6934,52.8795,53.4928,55.201,56.8545,58.1138,59.0556,60.1944,60.4463,60.4791,61.5194,62.7239,63.6766
Distrito Federal,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0332,0.0663,0.0995,0.1327,0.1658,0.199,0.2322,0.2322,0.3316,0.398,0.398,0.4311,0.4643,0.4643,0.4643,0.4975,0.5638,0.5638,0.6633,0.7959,0.7959,0.7959,0.7959,0.7959,0.8291,0.8623,0.8623,0.8954,0.8954,0.9286,0.9286,0.9286,0.9949,1.0281,1.0613,1.0944,1.0944,1.1276,1.1608,1.1608,1.2271,1.2934,1.3929,1.4592,1.5256,1.5919,1.6914,1.8241,1.8572,1.9235,2.1889,2.3878,2.5868,2.7858,2.9848,3.1506,3.4491,3.7808,4.1124,4.4109,4.7094,5.1073,5.3727,5.638,5.7375,5.8701,6.3344,6.5003,6.6992,6.8982,7.0972,7.4952,7.8268,8.4901,9.0871,9.3524,9.7172,10.082,10.5795,11.5413,12.1051,12.5694,13.1332,13.4316,14.0286,14.8909,15.7532,16.4165
Espírito Santo,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498,0.1244,0.1493,0.1493,0.1493,0.1493,0.1493,0.1742,0.1991,0.224,0.3484,0.423,0.4479,0.5226,0.6968,0.6968,0.7465,0.8461,0.8461,0.8461,0.9207,1.07,1.1695,1.294,1.4184,1.5677,1.9161,2.0903,2.3142,2.5133,2.5879,2.8617,3.0607,3.3096,3.6331,3.9068,4.1059,4.28,4.504,4.8773,5.2754,5.798,6.1961,6.4698,6.7436,7.0919,7.515,8.0873,8.6099,9.0329,9.8789,10.3766,11.1231,11.571,12.1185,12.7157,13.3876,13.935,14.5074,15.0299,15.6271,16.523,17.369,18.3395,19.4095,20.0565,20.7035,21.6739,22.4951,23.3163,24.0379,24.8591,25.5807,26.2526,27.0489,28.1687,29.3382,30.4331,31.528,32.2745,33.0459,34.5141,35.4597,36.4053
Goiás,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0285,0.0285,0.0427,0.0712,0.0712,0.0997,0.0997,0.114,0.1425,0.1995,0.2137,0.2137,0.2137,0.228,0.228,0.2565,0.2565,0.2707,0.2707,0.2992,0.3277,0.342,0.3562,0.3562,0.3705,0.3847,0.3847,0.4132,0.4132,0.4275,0.4275,0.4275,0.5414,0.6412,0.6269,0.6982,0.6697,0.6697,0.6982,0.7409,0.8691,0.9546,0.9546,0.9831,0.9974,1.0401,1.0401,1.1114,1.2111,1.3536,1.3536,1.3536,1.3678,1.4818,1.5388,1.6386,1.6956,1.7668,1.7668,1.8095,2.2085,2.2655,2.3367,2.3795,2.4507,2.465,2.465,2.6217,2.6929,2.7642,2.9352,3.0064,3.0776,3.3911,3.5478,3.6333,3.9183,4.1178,4.2033,4.36,4.6165,5.0582,5.3431
Maranhão,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0283,0.0283,0.0565,0.1555,0.1696,0.2261,0.2968,0.3392,0.3816,0.4523,0.4806,0.523,0.5654,0.6219,0.6784,0.7632,0.848,0.9328,1.0742,1.2438,1.4134,1.583,1.7667,2.0494,2.3462,2.6006,2.8833,3.166,3.3497,3.5193,3.8303,4.113,4.3108,4.6642,5.0175,5.3568,5.6394,5.9786,6.2755,6.6429,7.0104,7.4062,7.7595,8.1411,8.5369,8.9609,9.3708,9.7948,10.2047,10.657,11.081,11.5474,12.0562,12.5368,12.876,13.1728,13.4979,13.7947,14.0915,14.5297,15.0102,15.4766,15.9996,16.5367,17.0738,17.625,18.1621,18.685,19.2221,19.7733,20.2963,20.7345,21.1867,21.7238,22.1902,22.7132,23.2503,23.8015,24.3245,24.8757,25.3986,25.9499
