Estado Nome,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Acre,,,,0.0,0.0,0.1134,0.3402,0.9071,1.5874,3.1748,4.989,7.5969,10.9985,18.2553,23.9247,30.0476,34.583,40.9327,44.6745,48.7564,52.725,55.8998,61.1156,63.7235,65.9913,68.4858,69.3929,70.7535,72.5677,73.5882,74.4953,75.6292,76.5363,76.9898,78.1237,78.5772,79.4843,80.278,80.9583,81.9788,83.4529,85.3804,86.9679,89.4624,91.39,93.6577,94.905,96.8325,98.9869,101.2546,105.5633,109.7587,114.7477,120.8706,128.014,134.9306,137.992
Alagoas,,0.0,0.0,0.0,0.0,0.0599,0.1199,0.5393,1.0188,2.1574,4.135,6.622,10.0978,13.8133,18.6375,23.0122,27.0573,30.9227,35.1176,38.8631,42.3389,45.3652,48.1519,50.5789,52.8262,54.7439,56.5417,58.01,59.4782,60.6468,61.7854,63.0139,64.2425,65.3811,66.3998,67.2988,68.1378,68.8569,69.5461,70.0854,70.6247,71.3139,72.4226,73.9507,75.359,76.9771,78.7749,80.6626,82.5204,84.3182,86.0861,88.0937,90.1911,92.9478,96.3637,100.6185,102.5063
Amazonas,,,0.0,0.0,0.0483,0.4584,1.7131,4.4636,7.7209,14.1148,24.9723,34.5751,42.9716,49.9687,54.7942,60.609,64.4453,67.3648,70.8875,73.5415,75.9784,77.788,79.3322,81.6485,84.5679,86.1845,88.0423,92.8679,94.0502,95.6426,97.2592,100.9748,102.4708,104.9559,107.61,110.1434,112.0495,113.3765,115.741,118.0814,119.7704,120.9044,122.907,125.6093,129.518,138.8796,152.1982,174.4922,199.4404,219.949,241.085,253.8727,263.9099,272.3546,279.231,285.1423,286.9519
Amapá,,,,0.0,0.0,0.2365,0.7094,1.5371,3.0743,5.7938,8.6316,15.0166,19.8645,26.9589,32.871,38.9013,43.9856,48.8335,53.0902,56.5192,60.8941,65.7419,68.1068,71.2993,72.9546,75.3195,78.1572,79.5761,80.4038,81.9409,83.2416,84.897,85.8429,86.7888,87.6165,88.5624,90.3361,92.2279,93.6468,95.4204,98.14,100.9777,104.052,107.2445,110.5552,115.4031,118.8321,122.0246,125.8083,128.0549,130.7744,133.021,135.0311,137.2777,140.352,145.791,148.7471
Bahia,,0.0,0.0,0.0,0.0134,0.0672,0.1479,0.316,0.5581,0.948,1.4388,2.0978,3.2071,4.7132,6.1184,7.6985,9.6887,12.1024,14.5767,17.0442,19.4378,21.6969,24.3662,26.9682,30.0879,33.4901,36.2871,38.2773,40.3347,42.4459,44.6983,46.7489,48.134,49.3644,50.4066,51.5496,52.5648,53.5666,54.6155,55.5904,56.7805,58.058,59.4027,60.7877,62.1661,63.5579,64.9967,66.4692,68.15,70.0057,72.601,75.667,80.1045,84.9321,89.6991,95.636,98.3725
Ceará,,,0.0,0.0,0.0548,0.3833,1.106,2.2558,4.3473,7.7967,13.02,19.1413,27.2994,34.9099,45.9041,55.201,61.5194,66.5347,71.2215,76.3791,79.4562,82.2266,84.9861,87.5376,89.4868,91.2717,92.082,93.8122,95.2467,96.7359,97.9843,99.2874,100.032,100.9299,101.7622,102.5177,103.0105,103.4047,104.1822,105.4305,106.6241,107.3359,108.7047,109.0661,109.7779,111.2781,112.1322,113.4791,114.826,116.2824,118.6586,120.5421,124.101,129.2258,135.2923,140.9318,145.7828
Distrito Federal,,0.0,0.0,0.0,0.0663,0.3316,0.4975,0.7959,0.9286,1.0944,1.4592,2.1889,3.7808,5.7375,7.4952,10.5795,14.8909,18.539,24.0775,30.843,36.879,44.4073,51.2724,58.4359,67.722,76.8091,83.6078,90.2076,97.1721,102.7106,106.226,110.9686,114.0529,118.099,120.7521,122.543,124.6655,126.8544,128.7448,130.3367,132.6914,135.5103,137.8319,140.0539,142.2427,144.8627,146.8195,148.9088,151.363,153.585,155.7739,158.0622,161.3455,165.1263,170.6316,180.4483,186.0531
Espírito Santo,,0.0,0.0,0.0,0.0,0.1493,0.423,0.8461,1.5677,3.0607,4.8773,7.515,11.571,15.6271,21.6739,27.0489,34.5141,40.312,45.687,50.7633,56.1383,60.6423,64.6983,68.7793,72.3377,75.7717,78.5836,81.3208,83.5853,85.4018,87.6911,89.433,91.0505,92.7675,94.5342,96.1268,97.9931,100.2824,103.2436,106.4785,110.2609,114.6903,119.3436,124.3204,128.7995,133.2039,137.7577,142.2368,146.5169,149.7767,153.3848,156.7193,160.0537,163.637,167.8673,173.7151,178.1942
Goiás,,,0.0,0.0,0.0142,0.0712,0.2137,0.2707,0.3705,0.4275,0.6982,1.0401,1.3678,1.8095,2.465,3.3911,4.6165,6.654,9.3184,12.5386,16.3144,20.7599,24.4502,29.5226,33.8826,39.9524,45.0106,49.5985,55.2409,60.0711,65.286,70.2016,74.2197,77.3971,80.0473,82.099,83.6948,86.345,89.2374,90.8048,92.3293,93.6544,95.008,96.5469,97.701,99.2398,101.2631,103.9418,106.8484,110.0685,114.3715,118.703,121.7522,128.4062,138.5225,150.0922,154.8511
Maranhão,,,,0.0,0.0141,0.0565,0.4523,0.848,2.0494,3.8303,5.9786,8.5369,11.5474,14.0915,17.625,21.1867,24.8757,28.4374,31.8013,35.3489,38.7269,41.5961,43.377,45.0448,46.3168,47.5606,48.7055,49.7231,50.7408,51.7867,52.7902,53.8078,54.7831,55.6735,56.5781,57.525,58.3731,59.1787,59.9419,60.7193,61.3977,61.9913,62.6556,63.3058,63.9418,64.5637,65.1997,65.7651,66.5425,67.659,68.6908,69.9487,71.7155,75.0369,77.8072,80.846,82.4997
