Estado Nome,Casos,Mortes,População
Acre,35188.0,721.0,881935.0
Alagoas,93915.0,2326.0,3337357.0
Amazonas,175298.0,4826.0,4144597.0
Amapá,57698.0,799.0,845731.0
Bahia,390909.0,8165.0,14873064.0
Ceará,295275.0,9532.0,9132078.0
Distrito Federal,225873.0,3906.0,3015268.0
Espírito Santo,182855.0,4186.0,4018650.0
Goiás,276135.0,6300.0,7018354.0
Maranhão,192129.0,4256.0,7075181.0
Minas Gerais,403542.0,9858.0,21168791.0
Mato Grosso do Sul,94652.0,1742.0,2778986.0
Mato Grosso,156937.0,4111.0,3484466.0
Pará,268524.0,6884.0,8602865.0
Paraíba,143615.0,3268.0,4018127.0
Pernambuco,178086.0,8971.0,9557071.0
Piauí,124494.0,2603.0,3273227.0
Paraná,264821.0,5977.0,11433957.0
Rio de Janeiro,343995.0,22256.0,17264943.0
Rio Grande do Norte,88462.0,2675.0,3506853.0
Rondônia,78470.0,1534.0,1777225.0
Roraima,62603.0,723.0,605761.0
Rio Grande do Sul,306335.0,6639.0,11377239.0
Santa Catarina,337009.0,3561.0,7164788.0
Sergipe,88100.0,2288.0,2298696.0
São Paulo,1224744.0,41601.0,45919049.0
Tocantins,80218.0,1153.0,1572866.0
Brasil,6169882.0,170861.0,210147125.0
