País Português,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
Afeganistão,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0103,0.0103,0.0128,0.018,0.018,0.018,0.0283,0.0411,0.0539,0.0565,0.0565,0.0565,0.0617,0.0617,0.1028,0.1028,0.1901,0.2158,0.2415,0.2826,0.2826,0.3083,0.4367,0.447,0.6088,0.7013,0.7218,0.7681,0.8965,0.9428,1.0866,1.1406,1.2433,1.3384,1.4257,1.5593,1.7083,1.8341,2.014,2.1578,2.3274,2.3967,2.5585,2.6356,2.8052,3.0209,3.2855,3.4705,3.7582,3.9329,4.3747,4.6958,4.9809,5.5769,5.9982,6.3424,6.9461,7.4342,8.2819,8.7134,9.1527,9.705,10.3601,11.308,12.0401,12.7491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albânia,0.0695,0.3475,0.417,0.7992,1.1467,1.3205,1.4594,1.7722,1.9112,2.0502,2.2239,2.4324,2.6409,3.0926,3.6139,4.2741,5.0733,6.0463,6.4633,6.8455,7.3667,7.749,8.444,8.9999,9.6254,10.5636,11.5714,12.5443,13.1003,13.3088,13.8995,14.2123,14.4555,15.0462,15.498,16.2277,16.5057,17.1659,17.9999,18.7296,19.0423,19.5288,20.2933,21.162,22.0307,23.0385,23.5597,24.7411,25.2276,25.5751,26.0616,26.6176,26.8608,27.1736,27.4168,27.6253,27.9033,28.494,28.911,29.2585,29.5365,29.745,30.162,30.301,30.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argélia,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0068,0.0114,0.0274,0.0274,0.0388,0.0388,0.0433,0.0456,0.0456,0.0456,0.0547,0.0593,0.0844,0.1095,0.1231,0.1368,0.1688,0.1984,0.2052,0.317,0.4584,0.5245,0.602,0.6887,0.8369,0.9327,1.0353,1.1653,1.3318,1.6328,1.9315,2.2485,2.6704,2.8528,3.0102,3.2451,3.3477,3.5849,3.7992,4.0159,4.1618,4.3648,4.5221,4.7205,4.9258,5.1721,5.5141,5.7787,5.9953,6.1983,6.4103,6.6361,6.8573,7.131,7.4251,7.7125,8.0203,8.3214,8.7752,9.1355,9.473,9.7945,10.2027,10.5995,11.0328,11.3954,11.8173,12.2437,12.6747,13.051,13.4341,13.8355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,2.5885,50.4756,50.4756,68.5951,97.0685,113.8937,146.2499,172.1349,212.2565,243.3184,289.9113,345.564,398.6281,432.2785,478.8714,486.6369,504.7564,553.9377,568.1745,603.1191,648.4178,679.4797,705.3647,729.9553,754.546,777.8425,777.8425,825.7296,836.0836,852.9088,871.0283,871.0283,900.796,911.1499,922.7982,927.9752,927.9752,935.7406,935.7406,946.0946,955.1543,955.1543,961.6256,961.6256,961.6256,964.2141,964.2141,966.8026,968.0968,970.6853,971.9796,971.9796,973.2738,973.2738,975.8623,977.1565,977.1565,981.0393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,0.003,0.0061,0.0061,0.0091,0.0091,0.0091,0.0122,0.0122,0.0152,0.0213,0.0213,0.0213,0.0243,0.0243,0.0243,0.0304,0.0426,0.0487,0.0517,0.0578,0.0578,0.0578,0.0578,0.0578,0.0578,0.0578,0.0578,0.0578,0.0578,0.073,0.073,0.073,0.073,0.0761,0.0761,0.0761,0.0761,0.0791,0.0822,0.0822,0.0822,0.0822,0.0913,0.1065,0.1065,0.1065,0.1095,0.1095,0.1095,0.1308,0.1308,0.1369,0.1369,0.1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antígua e Barbuda,1.0211,1.0211,1.0211,1.0211,1.0211,1.0211,1.0211,1.0211,1.0211,1.0211,3.0634,3.0634,3.0634,7.148,7.148,7.148,7.148,7.148,7.148,7.148,9.1903,15.3172,15.3172,15.3172,15.3172,19.4018,19.4018,19.4018,19.4018,21.4441,21.4441,23.4864,23.4864,23.4864,23.4864,23.4864,23.4864,23.4864,23.4864,23.4864,24.5076,24.5076,24.5076,24.5076,24.5076,24.5076,24.5076,24.5076,24.5076,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0022,0.0022,0.0022,0.0044,0.0177,0.0266,0.0266,0.0376,0.042,0.042,0.0686,0.0752,0.0996,0.1239,0.1505,0.1748,0.2146,0.2832,0.3496,0.5886,0.666,0.8563,0.8563,1.1107,1.3032,1.5267,1.6484,1.8143,2.3321,2.3321,2.5069,2.7989,3.2105,3.2105,3.4384,3.6021,3.7946,3.9716,4.3699,4.3699,4.7394,4.8854,5.0381,5.4054,5.6886,5.9054,6.1023,6.2816,6.5072,6.7064,6.9564,7.6003,7.9808,8.3636,8.6114,8.857,9.1314,9.481,9.7974,10.0275,10.3572,10.5828,10.813,11.1072,11.5232,11.8839,12.4149,12.78,13.3508,13.8907,14.5213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arménia,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.135,0.27,0.6074,0.8774,1.7548,2.6323,2.8347,3.8809,4.5896,5.3995,6.5469,7.9305,8.403,8.9429,9.7866,11.1027,13.735,14.3086,16.266,17.9533,19.2694,22.3741,24.8377,25.985,27.7399,28.1111,28.786,29.7309,31.0808,31.6208,32.6332,34.1855,35.0629,36.0078,37.4927,39.1126,40.5299,42.116,43.5671,45.187,47.2793,49.7091,51.3964,53.8599,56.5934,58.9219,61.0142,63.0053,65.1988,69.7209,72.4881,76.7065,80.5199,84.6033,88.3829,93.8836,97.3258,102.2191,107.1461,111.8032,114.4692,119.3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrália,0.0157,0.0196,0.0196,0.0235,0.0353,0.0353,0.0471,0.0471,0.0471,0.051,0.051,0.0549,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.098,0.1059,0.1176,0.1529,0.2039,0.2157,0.2353,0.2471,0.298,0.3569,0.4196,0.502,0.502,0.7843,0.9804,1.1647,1.4784,1.7726,2.2275,2.6706,3.102,4.2,6.0745,6.5961,8.0157,9.2706,11.0197,12.3255,14.2746,15.6236,17.102,17.8785,19.0668,20.0628,20.9021,21.7648,22.3021,22.7334,23.1178,23.5687,23.9531,24.3727,24.7178,24.7648,24.906,25.157,25.255,25.3413,25.5766,25.757,25.9217,25.9727,26.0589,26.0864,26.1256,26.1844,26.2511,26.3295,26.357,26.4472,26.4786,26.5335,26.5805,26.6629,26.7531,26.8511,26.9609,27.0354,27.1099,27.1295,27.2119,27.2472,27.3335,27.3727,,,,
Áustria,0.0222,0.0222,0.0333,0.0333,0.0999,0.1554,0.1999,0.2332,0.322,0.4552,0.6107,0.8772,1.1547,1.4545,2.0208,2.7314,3.3532,5.596,7.2726,9.5488,11.3031,14.7895,18.2759,22.3508,26.5145,31.2445,39.7717,49.6758,58.6583,62.0448,76.7121,85.0173,91.8347,97.5751,106.7908,113.0308,118.9266,123.5677,127.9535,130.807,133.8049,136.5363,140.3336,143.6978,147.051,150.5041,153.291,154.8344,155.9003,157.9544,159.1757,160.7302,162.0515,162.8953,163.7614,164.2721,165.1382,165.7155,166.5705,167.3366,168.1915,169.0465,169.5906,170.5121,171.0118,171.5669,172.4441,172.7439,173.1769,173.4434,173.7654,174.1429,174.8979,175.1422,175.7972,176.2192,176.3413,177.2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijão,0.0296,0.0296,0.0296,0.0296,0.0592,0.0592,0.0888,0.0888,0.0888,0.1085,0.1085,0.1085,0.1479,0.1479,0.2268,0.2762,0.2762,0.2762,0.434,0.434,0.5227,0.6411,0.7101,0.8581,0.9172,1.2033,1.6274,1.795,2.0613,2.6925,2.9391,3.5407,3.9451,4.3692,5.1385,5.7598,6.322,7.0716,8.1072,9.1329,9.774,10.4348,10.8293,11.3224,11.8057,12.358,12.6539,13.2161,13.5415,13.7881,14.1629,14.5968,14.9716,15.2675,15.7015,15.948,16.2242,16.5497,16.9343,17.4176,17.7924,18.2855,18.68,19.0548,19.5677,20.3172,20.978,21.7375,22.4772,23.8875,24.8442,25.5346,26.5603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,0.2543,0.2543,0.2543,0.7629,0.7629,1.0172,1.0172,1.0172,1.2715,1.2715,2.2887,2.543,2.543,2.7972,3.5601,3.5601,5.3402,6.1031,6.1031,7.1203,7.1203,7.3746,8.3917,10.1718,10.4261,10.6804,11.6976,11.6976,11.9519,12.4605,12.4605,13.4776,13.7319,13.9862,13.9862,15.2577,16.5292,16.5292,18.3092,18.5635,19.835,20.3436,20.3436,20.3436,20.3436,20.5979,20.5979,21.1065,21.1065,21.1065,22.6323,23.3951,23.3951,23.3951,23.3951,23.3951,23.6494,23.6494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrein,0.0588,1.3517,1.9394,1.9394,2.1157,2.4095,2.7621,2.8797,2.8797,3.056,3.2323,3.5261,4.9954,4.9954,5.5831,6.4646,11.46,11.46,11.46,12.3415,12.5766,12.5766,13.3994,15.0449,16.3378,16.7492,17.9246,19.6289,22.1559,23.0375,24.6242,26.9162,27.3864,27.9741,29.3258,30.2661,33.3221,33.4396,37.7885,39.4928,40.4331,41.1384,44.4294,47.6617,48.367,52.1282,54.3614,61.1198,66.7617,79.9847,89.7992,98.2031,99.9074,102.2582,104.1976,110.5446,112.0726,115.9514,119.1249,130.2911,147.9805,152.0944,155.5618,160.0282,165.1999,171.6645,178.658,186.298,192.9977,198.8158,207.6312,218.621,231.1976,246.7714,261.1698,280.5636,290.378,307.7149,325.0518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.003,0.0049,0.0061,0.0085,0.0103,0.0121,0.0152,0.0164,0.02,0.0237,0.0237,0.0267,0.0291,0.0291,0.0291,0.0298,0.031,0.0328,0.034,0.037,0.0425,0.0534,0.0747,0.0996,0.1324,0.2004,0.2575,0.2927,0.3771,0.4876,0.6145,0.7475,0.9545,1.116,1.3018,1.4913,1.79,2.0536,2.2904,2.5418,2.8472,3.0348,3.2886,3.5904,3.9238,4.313,4.6554,5.0021,5.3373,5.7411,6.1589,6.6361,7.1158,7.5445,7.975,8.3612,8.8998,9.5276,10.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,0.696,0.696,1.7399,1.7399,2.0879,4.8717,5.9156,6.2636,6.2636,6.2636,8.3515,9.0474,11.4833,11.4833,11.8312,11.8312,16.007,17.7468,18.0948,19.4867,20.8786,21.9226,21.9226,22.9665,23.3145,23.6625,24.7064,25.0544,25.0544,25.4023,26.0983,26.0983,26.0983,26.0983,26.0983,26.0983,26.0983,26.4463,26.7943,27.4902,27.4902,27.8382,27.8382,27.8382,28.1862,28.1862,28.1862,28.5341,28.5341,28.5341,28.5341,28.5341,28.8821,29.2301,29.2301,29.2301,29.5781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
