País Português,22/01/20,23/01/20,24/01/20,25/01/20,26/01/20,27/01/20,28/01/20,29/01/20,30/01/20,31/01/20,01/02/20,02/02/20,03/02/20,04/02/20,05/02/20,06/02/20,07/02/20,08/02/20,09/02/20,10/02/20,11/02/20,12/02/20,13/02/20,14/02/20,15/02/20,16/02/20,17/02/20,18/02/20,19/02/20,20/02/20,21/02/20,22/02/20,23/02/20,24/02/20,25/02/20,26/02/20,27/02/20,28/02/20,29/02/20,01/03/20,02/03/20,03/03/20,04/03/20,05/03/20,06/03/20,07/03/20,08/03/20,09/03/20,10/03/20,11/03/20,12/03/20,13/03/20,14/03/20,15/03/20,16/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20,15/05/20,16/05/20,17/05/20,18/05/20,19/05/20,20/05/20,21/05/20,22/05/20,23/05/20,24/05/20,25/05/20,26/05/20,27/05/20,28/05/20,29/05/20,30/05/20,31/05/20,01/06/20,02/06/20,03/06/20,04/06/20,05/06/20,06/06/20,07/06/20,08/06/20,09/06/20,10/06/20,11/06/20,12/06/20,13/06/20,14/06/20,15/06/20,16/06/20,17/06/20,18/06/20,19/06/20,20/06/20,21/06/20,22/06/20,23/06/20,24/06/20,25/06/20,26/06/20,27/06/20,28/06/20,29/06/20,30/06/20,01/07/20,02/07/20,03/07/20,04/07/20,05/07/20,06/07/20,07/07/20,08/07/20,09/07/20,10/07/20,11/07/20,12/07/20,13/07/20,14/07/20,15/07/20
Afeganistão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0103,0.0103,0.0128,0.018,0.018,0.018,0.0283,0.0411,0.0539,0.0565,0.0565,0.0565,0.0617,0.0617,0.1028,0.1028,0.1901,0.2158,0.2415,0.2826,0.2826,0.3083,0.4367,0.447,0.6088,0.7013,0.7218,0.7681,0.8965,0.9428,1.0866,1.1406,1.2433,1.3384,1.4257,1.5593,1.7083,1.8341,2.014,2.1578,2.3274,2.3967,2.5585,2.6356,2.8052,3.0209,3.2855,3.4705,3.7582,3.9329,4.3747,4.6958,4.9809,5.5769,5.9982,6.3424,6.9461,7.4342,8.2819,8.7134,9.1527,9.705,10.3601,11.308,12.0401,12.7491,13.4247,14.4856,15.5491,16.4456,17.1186,18.1667,19.6592,20.9231,22.2871,23.6743,25.6831,27.1833,28.7015,30.3917,31.9972,33.4872,35.0875,37.3121,39.0589,40.4589,42.4087,44.3559,46.3775,48.728,50.223,52.255,53.7321,55.1244,56.8789,58.8003,60.4855,61.9138,63.6195,65.5743,67.5857,69.0345,70.7248,71.6136,73.0162,74.0669,74.8991,75.7314,76.1399,77.5142,78.2232,78.6471,79.5487,80.2449,80.9616,81.781,82.2588,83.0346,83.9286,84.6453,85.2592,85.7576,86.297,87.1036,87.8383,88.2801,88.4985,88.5088,89.2409,89.8934
Albânia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0695,0.3475,0.417,0.7992,1.1467,1.3205,1.4594,1.7722,1.9112,2.0502,2.2239,2.4324,2.6409,3.0926,3.6139,4.2741,5.0733,6.0463,6.4633,6.8455,7.3667,7.749,8.444,8.9999,9.6254,10.5636,11.5714,12.5443,13.1003,13.3088,13.8995,14.2123,14.4555,15.0462,15.498,16.2277,16.5057,17.1659,17.9999,18.7296,19.0423,19.5288,20.2933,21.162,22.0307,23.0385,23.5597,24.7411,25.2276,25.5751,26.0616,26.6176,26.8608,27.1736,27.4168,27.6253,27.9033,28.494,28.911,29.2585,29.5365,29.745,30.162,30.301,30.44,30.5789,31.2044,31.8299,32.4206,32.8724,32.9419,32.9766,33.4978,33.6716,34.0886,34.3666,34.6793,34.8878,35.7565,36.4862,37.3897,38.1889,38.9882,39.5094,39.7179,40.4476,41.1426,41.5943,42.1155,42.8105,43.297,43.8877,45.1387,46.5981,48.1271,49.2043,50.8722,52.8529,55.2506,58.1,59.8374,62.1309,63.8683,65.71,68.1772,69.3239,71.1308,73.459,76.1694,78.845,80.9647,83.4666,85.6905,88.0882,89.6519,92.5013,95.6287,97.9569,100.5283,102.9955,105.5669,107.9298,110.7792,113.9066,117.1382,120.0224,124.088,127.4239,130.3775
Argélia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0068,0.0114,0.0274,0.0274,0.0388,0.0388,0.0433,0.0456,0.0456,0.0456,0.0547,0.0593,0.0844,0.1095,0.1231,0.1368,0.1688,0.1984,0.2052,0.317,0.4584,0.5245,0.602,0.6887,0.8369,0.9327,1.0353,1.1653,1.3318,1.6328,1.9315,2.2485,2.6704,2.8528,3.0102,3.2451,3.3477,3.5849,3.7992,4.0159,4.1618,4.3648,4.5221,4.7205,4.9258,5.1721,5.5141,5.7787,5.9953,6.1983,6.4103,6.6361,6.8573,7.131,7.4251,7.7125,8.0203,8.3214,8.7752,9.1355,9.473,9.7945,10.2027,10.5995,11.0328,11.3954,11.8173,12.2437,12.6747,13.051,13.4341,13.8355,14.2596,14.6906,15.1171,15.5549,16.0065,16.4215,16.8229,17.1991,17.6233,18.0566,18.5013,18.9414,19.3906,19.8331,20.1979,20.5172,20.8296,21.1329,21.4225,21.6939,21.9516,22.1956,22.4191,22.6562,22.9185,23.1557,23.4088,23.6756,23.9082,24.1477,24.3962,24.6516,24.9002,25.1556,25.4201,25.6961,25.9629,26.2343,26.5239,26.8431,27.1829,27.5387,27.9309,28.3802,28.9275,29.5728,30.2684,30.948,31.7142,32.5465,33.4245,34.3663,35.3469,36.3526,37.4085,38.4917,39.5612,40.6102,41.5999,42.6717,43.7732,44.8997,46.1015,47.3649
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,1.2942,2.5885,50.4756,50.4756,68.5951,97.0685,113.8937,146.2499,172.1349,212.2565,243.3184,289.9113,345.564,398.6281,432.2785,478.8714,486.6369,504.7564,553.9377,568.1745,603.1191,648.4178,679.4797,705.3647,729.9553,754.546,777.8425,777.8425,825.7296,836.0836,852.9088,871.0283,871.0283,900.796,911.1499,922.7982,927.9752,927.9752,935.7406,935.7406,946.0946,955.1543,955.1543,961.6256,961.6256,961.6256,964.2141,964.2141,966.8026,968.0968,970.6853,971.9796,971.9796,973.2738,973.2738,975.8623,977.1565,977.1565,981.0393,983.6278,984.922,984.922,984.922,984.922,984.922,984.922,986.2163,986.2163,986.2163,986.2163,986.2163,987.5105,987.5105,987.5105,987.5105,988.8048,988.8048,988.8048,990.099,1092.3445,1101.4043,1102.6985,1102.6985,1102.6985,1102.6985,1102.6985,1102.6985,1102.6985,1102.6985,1103.9928,1103.9928,1103.9928,1103.9928,1105.287,1105.287,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1106.5812,1110.464,1114.3467,1115.641
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0061,0.0061,0.0091,0.0091,0.0091,0.0122,0.0122,0.0152,0.0213,0.0213,0.0213,0.0243,0.0243,0.0243,0.0304,0.0426,0.0487,0.0517,0.0578,0.0578,0.0578,0.0578,0.0578,0.0578,0.0578,0.0578,0.0578,0.0578,0.073,0.073,0.073,0.073,0.0761,0.0761,0.0761,0.0761,0.0791,0.0822,0.0822,0.0822,0.0822,0.0913,0.1065,0.1065,0.1065,0.1095,0.1095,0.1095,0.1308,0.1308,0.1369,0.1369,0.1369,0.1369,0.146,0.146,0.146,0.146,0.1521,0.1582,0.1582,0.1765,0.1826,0.1856,0.2099,0.213,0.213,0.216,0.2252,0.2465,0.2556,0.2617,0.2617,0.2617,0.2617,0.2617,0.2617,0.2678,0.2769,0.2799,0.2921,0.3438,0.359,0.3955,0.4199,0.426,0.4321,0.4503,0.4716,0.5051,0.5233,0.5355,0.5568,0.5659,0.5751,0.5994,0.645,0.645,0.788,0.8124,0.8398,0.8641,0.8854,0.9584,0.998,1.0528,1.0528,1.0528,1.1745,1.1745,1.2049,1.3935,1.4057,1.5396,1.5974,1.6461,1.7526
Antígua e Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0211,1.0211,1.0211,1.0211,1.0211,1.0211,1.0211,1.0211,1.0211,1.0211,3.0634,3.0634,3.0634,7.148,7.148,7.148,7.148,7.148,7.148,7.148,9.1903,15.3172,15.3172,15.3172,15.3172,19.4018,19.4018,19.4018,19.4018,21.4441,21.4441,23.4864,23.4864,23.4864,23.4864,23.4864,23.4864,23.4864,23.4864,23.4864,24.5076,24.5076,24.5076,24.5076,24.5076,24.5076,24.5076,24.5076,24.5076,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,25.5287,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,26.5498,66.3746,66.3746,66.3746,70.4592,70.4592,70.4592,70.4592,70.4592,69.4381,69.4381,69.4381,71.4804,71.4804,71.4804,74.5438,75.565,75.565,75.565,75.565,75.565,75.565
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0022,0.0022,0.0044,0.0177,0.0266,0.0266,0.0376,0.042,0.042,0.0686,0.0752,0.0996,0.1239,0.1505,0.1748,0.2146,0.2832,0.3496,0.5886,0.666,0.8563,0.8563,1.1107,1.3032,1.5267,1.6484,1.8143,2.3321,2.3321,2.5069,2.7989,3.2105,3.2105,3.4384,3.6021,3.7946,3.9716,4.3699,4.3699,4.7394,4.8854,5.0381,5.4054,5.6886,5.9054,6.1023,6.2816,6.5072,6.7064,6.9564,7.6003,7.9808,8.3636,8.6114,8.857,9.1314,9.481,9.7974,10.0275,10.3572,10.5828,10.813,11.1072,11.5232,11.8839,12.4149,12.78,13.3508,13.8907,14.5213,15.2204,15.7847,16.548,17.2693,17.8512,18.5216,19.4908,20.5395,21.9733,23.5619,25.1196,26.7193,27.9407,29.2682,30.8281,32.5296,34.116,35.875,37.2845,38.5324,40.5326,42.6323,44.6878,46.5464,48.7214,50.4339,52.2615,54.7861,57.4987,60.5654,63.6431,67.0306,69.8672,72.54,75.5801,78.6622,82.9945,87.5524,91.1678,94.6659,99.4142,104.4412,110.3001,116.0662,122.4517,127.7642,132.6075,137.7739,142.7788,148.6798,154.7512,161.046,166.7767,172.1732,177.9967,184.5881,192.5623,200.667,208.1168,215.748,221.6269,228.4838,236.5487,245.9212
Arménia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.135,0.27,0.6074,0.8774,1.7548,2.6323,2.8347,3.8809,4.5896,5.3995,6.5469,7.9305,8.403,8.9429,9.7866,11.1027,13.735,14.3086,16.266,17.9533,19.2694,22.3741,24.8377,25.985,27.7399,28.1111,28.786,29.7309,31.0808,31.6208,32.6332,34.1855,35.0629,36.0078,37.4927,39.1126,40.5299,42.116,43.5671,45.187,47.2793,49.7091,51.3964,53.8599,56.5934,58.9219,61.0142,63.0053,65.1988,69.7209,72.4881,76.7065,80.5199,84.6033,88.3829,93.8836,97.3258,102.2191,107.1461,111.8032,114.4692,119.3962,125.4706,130.2627,136.4721,144.5376,150.9157,162.7609,170.1177,177.8794,189.1846,200.0511,212.6724,224.7875,240.0411,249.7939,262.3477,277.2638,292.7873,301.2578,313.2379,320.3247,337.7718,355.1514,378.673,398.7861,417.2456,443.0956,449.6762,461.4876,475.9313,495.032,515.685,540.084,562.4581,575.8556,590.198,608.5562,630.9979,646.4876,665.0821,683.9804,694.7793,708.8855,732.8795,758.8983,784.5121,806.8525,831.6901,847.9561,861.961,879.6106,899.6225,921.9629,941.536,965.3613,976.4977,988.2753,1006.3299,1024.0807,1042.8777,1059.3799,1078.8518,1084.9937,1096.4339,1113.8135
Austrália,0.0,0.0,0.0,0.0,0.0157,0.0196,0.0196,0.0235,0.0353,0.0353,0.0471,0.0471,0.0471,0.051,0.051,0.0549,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.098,0.1059,0.1176,0.1529,0.2039,0.2157,0.2353,0.2471,0.298,0.3569,0.4196,0.502,0.502,0.7843,0.9804,1.1647,1.4784,1.7726,2.2275,2.6706,3.102,4.2,6.0745,6.5961,8.0157,9.2706,11.0197,12.3255,14.2746,15.6236,17.102,17.8785,19.0668,20.0628,20.9021,21.7648,22.3021,22.7334,23.1178,23.5687,23.9531,24.3727,24.7178,24.7648,24.906,25.157,25.255,25.3413,25.5766,25.757,25.9217,25.9727,26.0589,26.0864,26.1256,26.1844,26.2511,26.3295,26.357,26.4472,26.4786,26.5335,26.5805,26.6629,26.7531,26.8511,26.9609,27.0354,27.1099,27.1295,27.2119,27.2472,27.3335,27.3727,27.408,27.5256,27.5884,27.6237,27.6629,27.7178,27.7335,27.7688,27.8237,27.8393,27.8982,27.8982,27.9452,27.9962,28.0393,28.0982,28.1727,28.204,28.2433,28.3178,28.3491,28.3923,28.4197,28.4393,28.4668,28.4903,28.4982,28.5256,28.5688,28.5844,28.6041,28.706,28.7648,28.8119,28.9021,28.9844,29.055,29.0629,29.259,29.3099,29.3805,29.4943,29.6394,29.7844,29.808,30.1413,30.4472,30.7217,31.059,31.3766,31.6315,32.3923,33.11,33.659,34.3335,34.8472,35.5139,36.761,37.4629,38.4198,39.1374,40.2002,41.1257,42.3923
Áustria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0222,0.0333,0.0333,0.0999,0.1554,0.1999,0.2332,0.322,0.4552,0.6107,0.8772,1.1547,1.4545,2.0208,2.7314,3.3532,5.596,7.2726,9.5488,11.3031,14.7895,18.2759,22.3508,26.5145,31.2445,39.7717,49.6758,58.6583,62.0448,76.7121,85.0173,91.8347,97.5751,106.7908,113.0308,118.9266,123.5677,127.9535,130.807,133.8049,136.5363,140.3336,143.6978,147.051,150.5041,153.291,154.8344,155.9003,157.9544,159.1757,160.7302,162.0515,162.8953,163.7614,164.2721,165.1382,165.7155,166.5705,167.3366,168.1915,169.0465,169.5906,170.5121,171.0118,171.5669,172.4441,172.7439,173.1769,173.4434,173.7654,174.1429,174.8979,175.1422,175.7972,176.2192,176.3413,177.2185,177.6182,178.2955,178.8617,179.8832,180.3385,180.6383,181.2156,181.5709,182.1372,182.4925,183.0477,183.2364,183.6361,183.836,184.2135,184.6243,184.9241,185.2572,185.7679,185.7901,186.0788,186.2121,186.5896,187.0115,187.6222,187.6666,188.3994,188.5215,188.8102,189.1322,189.4653,189.6208,189.965,190.2536,190.8532,191.0087,191.2307,191.7637,192.341,192.5409,192.9739,193.2848,193.7401,194.0509,194.5506,195.1946,196.0162,196.7823,197.2598,198.4478,199.2028,200.4131,201.69,202.9668,203.9106,204.5324,205.5539,206.6864,207.7301,208.5517,209.8175,210.3838,211.1943,212.671
