País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Afeganistão,0,0,0,0,1,1,5,22,74,174,423,714,1092,1828,3224,4963,7653,11831,16509,21459,26310,29481,31517,33384,34740,35615,36368,36782,37269,37599,38070,38196,38520,38815,39096,39254,39486,39928,40357,41032,41728,42463,43035
Albânia,0,0,0,0,0,0,10,55,123,243,383,475,609,750,820,876,949,1029,1164,1299,1672,2047,2535,3038,3667,4290,4997,5750,6676,7654,8759,9606,10553,11672,12666,13518,14568,15752,17651,19729,21904,25294,27233
Argélia,0,0,0,0,1,5,20,60,264,716,1468,2070,2811,3649,4838,6067,7377,8697,9626,10382,11147,12076,13907,16879,20216,24278,28615,32504,36204,39444,42228,44833,46938,48734,50214,51368,52399,53399,54829,56706,58979,63446,66819
Andorra,0,0,0,0,0,1,1,39,164,376,545,659,717,743,751,758,761,763,844,852,854,855,855,855,861,884,907,939,963,1005,1060,1184,1261,1438,1681,1966,2370,2995,3623,4410,4910,5477,5725
Angola,0,0,0,0,0,0,0,0,3,7,17,19,24,27,36,45,52,70,86,96,148,189,284,386,541,779,1000,1344,1735,1966,2283,2729,3033,3569,4236,4905,5725,6680,8049,9871,11577,12816,13374
Antígua e Barbuda,0,0,0,0,0,0,0,1,3,7,19,23,23,24,25,25,25,25,26,26,26,26,69,70,74,76,86,92,92,93,94,94,95,95,96,101,107,111,119,124,128,131,134
Argentina,0,0,0,0,0,1,17,68,387,1054,1628,2277,3031,4127,5020,6563,8809,13228,18319,24761,34159,47203,64530,83426,106910,136118,173355,213535,260911,305966,359638,428239,500034,577338,652174,736609,824468,917035,1018999,1116609,1195276,1262476,1304846
Arménia,0,0,0,0,0,1,1,78,249,532,853,1067,1401,1867,2619,3538,5041,7402,10009,13675,17489,21006,25542,29285,32490,35254,37629,39298,40593,41846,42936,43878,44953,46119,47667,49901,53083,57566,66694,80410,94776,108687,115855
Austrália,5,13,15,15,15,39,107,452,2044,4559,5895,6415,6645,6744,6875,6980,7072,7139,7229,7274,7370,7521,7920,8886,10487,12894,15582,19445,22127,23989,25204,25923,26465,26778,26972,27078,27181,27337,27443,27553,27622,27671,27711
Áustria,0,0,0,0,2,21,182,1332,5283,10180,12639,14226,14873,15357,15650,15961,16321,16557,16759,16979,17189,17408,17766,18421,19021,19827,20677,21481,22245,23829,25706,27642,30081,34305,39303,44041,49819,57326,67451,86102,118198,164866,198291
Azerbaijão,0,0,0,0,0,3,11,28,87,298,717,1197,1480,1717,2060,2693,3518,4403,5935,8191,10662,13715,17524,21374,25113,28242,30858,32910,33731,34474,35559,36578,37557,38517,39378,40119,40931,42381,45879,51149,58282,67392,73429
Bahamas,0,0,0,0,0,0,0,1,5,14,33,49,65,80,89,93,96,100,102,103,104,104,104,104,116,194,447,715,989,1424,1813,2276,2585,3032,3467,3903,4559,5163,5923,6502,6790,7012,7163
Bahrein,0,0,0,0,23,49,110,228,392,567,811,1528,1973,2811,3720,5531,7532,9366,12311,15731,19553,23062,26758,30321,34078,37316,39921,42132,44804,47581,50076,52440,56778,61643,66402,70422,73476,76272,78533,80765,82363,83811,84523
Bangladesh,0,0,0,0,0,0,3,10,39,51,164,1012,3382,6462,10929,16660,25121,36751,52445,71675,94481,119198,145483,168645,190057,210510,229185,244020,263503,282344,299628,314946,329251,341056,352178,362043,371631,381275,391586,401586,412647,423620,430496
Barbados,0,0,0,0,0,0,0,2,18,34,63,72,75,80,82,85,90,92,92,92,97,97,97,98,103,106,110,132,143,153,164,176,180,184,189,190,200,210,222,233,238,243,249
Bielorrússia,0,0,0,0,0,1,9,36,81,152,861,3281,6723,12208,18350,24873,31508,38059,44255,50265,55369,59487,62118,64003,65269,66348,67366,68250,69005,69673,70727,71962,73208,74552,76104,78260,81090,84524,88909,94609,101329,108300,112870
Bélgica,0,1,1,1,1,13,267,1243,4269,12775,22194,31119,40956,47334,50509,53779,55791,57455,58615,59437,60155,60810,61427,62058,62781,64258,66662,70648,75008,78897,82447,85487,89141,94795,105226,117115,134291,173240,240159,347289,452541,507475,531280
Belize,0,0,0,0,0,0,0,0,1,3,7,18,18,18,18,18,18,18,18,20,22,23,24,30,39,42,48,57,177,475,730,1050,1361,1528,1635,1891,2243,2585,2886,3200,3790,4414,4783
Benim,0,0,0,0,0,0,0,1,6,9,26,35,54,64,96,327,339,208,244,305,532,850,1199,1199,1378,1602,1770,1914,2001,2063,2115,2145,2213,2267,2294,2340,2357,2411,2496,2557,2683,2781,2844
Butão,0,0,0,0,0,0,1,1,2,4,5,5,6,7,7,11,21,27,47,59,67,70,77,80,84,92,99,105,113,147,173,227,234,246,261,281,300,313,331,345,358,364,375
Bolívia,0,0,0,0,0,0,0,11,29,107,194,354,598,1053,1802,2964,4481,7136,10991,14644,19883,26389,33219,41545,50867,62357,72327,83361,93328,103019,110999,117267,122308,128286,131453,134641,137468,138922,140037,141124,141936,142664,143181
Bósnia e Herzegovina,0,0,0,0,0,0,5,26,166,420,764,1083,1342,1585,1946,2158,2321,2416,2535,2728,3085,3588,4453,5621,6981,8787,10766,12856,14708,16351,18326,20234,21961,23929,25737,27226,28710,31173,35389,43151,53822,65024,70900
Botswana,0,0,0,0,0,0,0,0,0,4,6,13,20,23,23,24,25,35,40,42,60,89,227,314,399,522,739,804,1066,1308,1562,1724,2126,2463,2567,3172,3172,3515,5609,6283,6642,7835,8225
Brasil,0,0,0,0,0,2,31,321,2247,5717,14034,25262,43079,73235,115455,178214,271885,391222,555383,739503,923189,1145906,1402041,1668589,1926824,2159654,2483191,2801921,3109630,3407354,3669995,3950931,4162073,4382263,4591364,4777522,4969141,5113628,5273954,5439641,5566049,5699005,5848959
Brunei,0,0,0,0,0,0,1,56,104,129,135,136,138,138,138,141,141,141,141,141,141,141,141,141,141,141,141,141,142,142,144,144,145,145,145,146,146,146,147,148,148,148,148
Bulgária,0,0,0,0,0,0,4,67,218,399,577,713,975,1399,1704,2023,2259,2443,2538,2889,3453,4114,4989,6102,7645,9254,10871,12414,13722,14669,15589,16454,17313,18216,19123,20547,22306,25774,31863,42701,60537,83366,97435
