País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Afeganistão,1.0,5.0,16.0,34.0,118.0,338.0,608.0,997.0,1532.0,2705.0,4403.0,6665.0,10585.0,15208.0,20345.0,24770.0,28837.0,30957.0,32941.0,34441.0,35453.0,36147.0,36701.0,37083.0,37590.0,37990.0,38155.0,38398.0,38716.0,39044.0,39227.0,39341.0,39799.0,40200.0,40833.0,41501.0,42159.0,43240.0,44706.0,46116.0,47306.0,48527.0,49817.0,51039.0,51526.0,53489.0,53984.0,54595.0,55023.0,55335.0,55492.0,55604.0,,,,,
Albânia,42.0,89.0,212.0,361.0,446.0,562.0,726.0,795.0,868.0,946.0,998.0,1137.0,1246.0,1521.0,1962.0,2402.0,2893.0,3454.0,4090.0,4763.0,5519.0,6411.0,7380.0,8427.0,9380.0,10255.0,11353.0,12385.0,13259.0,14266.0,15399.0,17055.0,19157.0,21202.0,24206.0,27830.0,32761.0,37625.0,42988.0,48530.0,53003.0,56254.0,59438.0,63595.0,67690.0,72274.0,78127.0,85336.0,93075.0,100246.0,,,,,,,
Argélia,3.0,20.0,54.0,230.0,584.0,1423.0,1983.0,2718.0,3517.0,4648.0,5891.0,7201.0,8503.0,9513.0,10265.0,11031.0,11920.0,13571.0,16404.0,19689.0,23691.0,27973.0,31972.0,35712.0,39025.0,41858.0,44494.0,46653.0,48496.0,50023.0,51213.0,52270.0,53325.0,54616.0,56419.0,58574.0,62693.0,68589.0,75867.0,83199.0,88825.0,92597.0,95659.0,98631.0,100645.0,102369.0,104092.0,105854.0,107578.0,109313.0,110894.0,111917.0,,,,,
Andorra,1.0,1.0,113.0,334.0,501.0,638.0,713.0,738.0,748.0,755.0,761.0,762.0,764.0,852.0,853.0,855.0,855.0,855.0,855.0,880.0,897.0,925.0,955.0,989.0,1045.0,1124.0,1215.0,1344.0,1564.0,1836.0,2110.0,2696.0,3377.0,4038.0,4825.0,5383.0,5872.0,6256.0,6712.0,7050.0,7338.0,7577.0,7821.0,8192.0,8586.0,9083.0,9549.0,9937.0,10251.0,10503.0,10699.0,,,,,,
Angola,4.0,8.0,19.0,19.0,25.0,27.0,36.0,48.0,58.0,74.0,86.0,118.0,166.0,212.0,315.0,396.0,607.0,851.0,1109.0,1483.0,1815.0,2044.0,2415.0,2805.0,3217.0,3789.0,4475.0,5114.0,5958.0,7096.0,8582.0,10269.0,12102.0,13053.0,14134.0,14920.0,15361.0,15925.0,16484.0,17029.0,17553.0,17974.0,18613.0,19177.0,19672.0,19996.0,20261.0,20452.0,20519.0,,,,,,,,
Antígua e Barbuda,1.0,7.0,9.0,19.0,23.0,24.0,24.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,65.0,69.0,73.0,74.0,76.0,91.0,92.0,92.0,94.0,94.0,95.0,95.0,95.0,97.0,101.0,111.0,112.0,122.0,124.0,130.0,131.0,139.0,141.0,144.0,146.0,151.0,154.0,159.0,163.0,184.0,192.0,215.0,268.0,381.0,548.0,598.0,,,,,,,
Argentina,12.0,56.0,301.0,820.0,1554.0,2208.0,2941.0,4003.0,4887.0,6278.0,8371.0,12628.0,17415.0,23620.0,32785.0,44931.0,62268.0,80447.0,103265.0,130774.0,167416.0,206743.0,253868.0,299126.0,350867.0,417735.0,488007.0,565446.0,640147.0,723132.0,809728.0,903730.0,1002662.0,1102301.0,1183131.0,1250499.0,1318384.0,1374631.0,1424533.0,1466309.0,1503222.0,1547138.0,1590513.0,1648940.0,1730921.0,1807428.0,1874801.0,1933853.0,1985501.0,2029057.0,2064334.0,,,,,,
Arménia,1.0,18.0,160.0,407.0,770.0,967.0,1248.0,1677.0,2273.0,3175.0,4283.0,6302.0,8927.0,12364.0,16004.0,19708.0,23909.0,27900.0,31392.0,34462.0,36996.0,38841.0,40185.0,41495.0,42616.0,43626.0,44649.0,45675.0,47154.0,49072.0,51925.0,55736.0,63000.0,75523.0,89813.0,104249.0,115855.0,124839.0,133594.0,140959.0,147312.0,153173.0,157349.0,159798.0,161794.0,164235.0,165909.0,166901.0,167937.0,169022.0,170234.0,170402.0,,,,,
Austrália,12.0,15.0,15.0,15.0,25.0,63.0,250.0,1071.0,3640.0,5550.0,6303.0,6568.0,6694.0,6799.0,6939.0,7044.0,7114.0,7192.0,7259.0,7320.0,7461.0,7686.0,8443.0,9797.0,11802.0,14403.0,17895.0,21084.0,23287.0,24811.0,25670.0,26278.0,26651.0,26898.0,27040.0,27135.0,27263.0,27390.0,27513.0,27595.0,27658.0,27711.0,27821.0,27892.0,27965.0,28030.0,28168.0,28308.0,28484.0,28595.0,28708.0,28766.0,28811.0,28851.0,28898.0,28926.0,28930.0
Áustria,18.0,131.0,1018.0,4474.0,9618.0,12297.0,14041.0,14795.0,15274.0,15621.0,15882.0,16269.0,16539.0,16733.0,16968.0,17135.0,17380.0,17723.0,18365.0,18948.0,19743.0,20558.0,21385.0,22106.0,23534.0,25495.0,27438.0,29561.0,33541.0,38658.0,43432.0,48896.0,56298.0,65927.0,83267.0,114016.0,158746.0,208613.0,250333.0,282456.0,305693.0,325051.0,340373.0,353484.0,367410.0,382258.0,394939.0,405723.0,415522.0,424896.0,434712.0,445374.0,,,,,
