País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Afeganistão,0.0026,0.0103,0.0411,0.1028,0.3083,0.8965,1.5593,2.5585,3.9329,6.9461,11.308,17.1186,27.1833,39.0589,52.255,63.6195,74.0669,79.5487,84.6453,88.4985,91.129,92.8809,94.3015,95.1851,96.1356,,,,,
Albânia,1.4594,3.0926,7.3667,12.5443,15.498,19.5288,25.2276,27.6253,30.162,32.8724,34.6793,39.5094,43.297,52.8529,68.1772,83.4666,100.5283,120.0224,142.1226,165.5085,191.7786,222.7746,242.2339,,,,,,,
Argélia,0.0068,0.0456,0.1231,0.5245,1.3318,3.2451,4.5221,6.1983,8.0203,10.5995,13.4341,16.4215,19.3906,21.6939,23.4088,25.1556,27.1829,30.948,37.4085,44.8997,54.0261,63.791,72.9105,81.4393,84.803,,,,,
Andorra,1.2942,1.2942,146.2499,432.2785,648.4178,825.7296,922.7982,955.1543,968.0968,977.1565,984.922,986.2163,988.8048,1102.6985,1103.9928,1106.5812,1106.5812,1106.5812,1106.5812,1138.9374,1160.9396,1197.1785,1236.006,1269.6564,,,,,,
Angola,0.0122,0.0243,0.0578,0.0578,0.0761,0.0822,0.1095,0.146,0.1765,0.2252,0.2617,0.359,0.5051,0.645,0.9584,1.2049,1.8469,2.5893,3.3743,4.5122,5.5224,,,,,,,,,
Antígua e Barbuda,1.0211,7.148,9.1903,19.4018,23.4864,24.5076,24.5076,25.5287,25.5287,25.5287,25.5287,26.5498,26.5498,26.5498,66.3746,70.4592,74.5438,75.565,77.6072,92.9245,93.9456,93.9456,,,,,,,,
Argentina,0.0266,0.1239,0.666,1.8143,3.4384,4.8854,6.5072,8.857,10.813,13.8907,18.5216,27.9407,38.5324,52.2615,72.54,99.4142,137.7739,177.9967,228.4838,289.3501,370.424,457.4388,561.7074,610.8359,,,,,,
Arménia,0.0337,0.6074,5.3995,13.735,25.985,32.6332,42.116,56.5934,76.7065,107.1461,144.5376,212.6724,301.2578,417.2456,540.084,665.0821,806.8525,941.536,1059.3799,1162.9826,1248.497,1310.7599,1356.1156,1384.3954,,,,,,
Austrália,0.0471,0.0588,0.0588,0.0588,0.098,0.2471,0.9804,4.2,14.2746,21.7648,24.7178,25.757,26.2511,26.6629,27.2119,27.6237,27.8982,28.204,28.4668,28.706,29.259,30.1413,33.11,38.4198,46.2826,56.4826,70.1768,82.6827,89.1847,
Áustria,0.1999,1.4545,11.3031,49.6758,106.7908,136.5363,155.9003,164.2721,169.5906,173.4434,176.3413,180.6383,183.6361,185.7901,188.3994,190.2536,192.9739,196.7823,203.9106,210.3838,219.2108,228.26,237.4423,245.4477,250.8661,,,,,
Azerbaijão,0.0888,0.1479,0.5227,1.795,5.1385,10.4348,13.5415,15.948,18.68,23.8875,30.9493,39.2734,51.7399,71.3963,94.3864,120.7001,156.7188,195.292,231.9814,267.6055,292.2624,317.1559,330.2142,334.4946,,,,,,
Bahamas,1.0172,2.7972,7.1203,11.6976,13.9862,20.3436,21.1065,23.3951,24.4123,25.4295,25.9381,26.1924,26.1924,26.4467,26.4467,26.4467,28.2267,38.9071,86.9689,164.7832,228.3569,276.9273,,,,,,,,
Bahrein,2.7621,4.9954,12.5766,19.6289,29.3258,41.1384,66.7617,110.5446,155.5618,198.8158,290.378,408.7977,537.0319,669.85,867.608,1071.1841,1279.0503,1510.6592,1725.8716,1935.9123,2140.4875,2299.6929,2441.0326,2586.486,2687.275,,,,,
Bangladesh,0.0018,0.0152,0.0291,0.0425,0.2927,1.3018,3.0348,5.3373,8.3612,12.7482,19.4779,27.0861,38.2696,51.2352,66.0486,81.3519,96.9577,109.9822,122.6952,134.3001,145.6439,154.9056,163.4076,,,,,,,
