País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Afeganistão,0.0,0.0,0.0,0.0,0.0026,0.0026,0.0128,0.0565,0.1901,0.447,1.0866,1.8341,2.8052,4.6958,8.2819,12.7491,19.6592,30.3917,42.4087,55.1244,67.5857,75.7314,80.9616,85.7576,89.2409,91.4886,93.4229,94.4864,95.7374,96.5851
Albânia,0.0,0.0,0.0,0.0,0.0,0.0,0.3475,1.9112,4.2741,8.444,13.3088,16.5057,21.162,26.0616,28.494,30.44,32.9766,35.7565,40.4476,45.1387,58.1,71.1308,88.0882,105.5669,127.4239,149.0724,173.6398,199.8056,231.983,260.5813
Argélia,0.0,0.0,0.0,0.0,0.0023,0.0114,0.0456,0.1368,0.602,1.6328,3.3477,4.7205,6.4103,8.3214,11.0328,13.8355,16.8229,19.8331,21.9516,23.6756,25.4201,27.5387,31.7142,38.4917,46.1015,55.3647,65.255,74.1237,82.5613,88.9945
Andorra,0.0,0.0,0.0,0.0,0.0,1.2942,1.2942,50.4756,212.2565,486.6369,705.3647,852.9088,927.9752,961.6256,971.9796,981.0393,984.922,987.5105,1092.3445,1102.6985,1105.287,1106.5812,1106.5812,1106.5812,1114.3467,1144.1144,1173.8821,1215.298,1246.3599,1300.7183
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0213,0.0517,0.0578,0.073,0.0822,0.1095,0.1369,0.1582,0.213,0.2617,0.2921,0.4503,0.5751,0.8641,1.1745,1.6461,2.3702,3.0426,4.0893,5.279,5.8875
Antígua e Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0211,3.0634,7.148,19.4018,23.4864,23.4864,24.5076,25.5287,25.5287,25.5287,25.5287,26.5498,26.5498,26.5498,26.5498,70.4592,71.4804,75.565,77.6072,87.8187,93.9456,93.9456,94.9668
Argentina,0.0,0.0,0.0,0.0,0.0,0.0022,0.0376,0.1505,0.8563,2.3321,3.6021,5.0381,6.7064,9.1314,11.1072,14.5213,19.4908,29.2682,40.5326,54.7861,75.5801,104.4412,142.7788,184.5881,236.5487,301.1742,383.5646,472.4667,577.2907,661.8451
Arménia,0.0,0.0,0.0,0.0,0.0,0.0337,0.0337,2.6323,8.403,17.9533,28.786,36.0078,47.2793,63.0053,88.3829,119.3962,170.1177,249.7939,337.7718,461.4876,590.198,708.8855,861.961,988.2753,1096.4339,1189.7101,1269.8587,1326.1822,1369.8843,1407.2757
Austrália,0.0196,0.051,0.0588,0.0588,0.0588,0.1529,0.4196,1.7726,8.0157,17.8785,23.1178,25.157,26.0589,26.4472,26.9609,27.3727,27.7335,27.9962,28.3491,28.5256,28.9021,29.4943,31.059,34.8472,41.1257,50.5649,61.1062,76.2552,86.7729,93.2279
Áustria,0.0,0.0,0.0,0.0,0.0222,0.2332,2.0208,14.7895,58.6583,113.0308,140.3336,157.9544,165.1382,170.5121,173.7654,177.2185,181.2156,183.836,186.0788,188.5215,190.8532,193.2848,197.2598,204.5324,211.1943,220.1435,229.5812,238.5082,246.9911,261.3031
