País Português,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
Afeganistão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0026,0.0026,0.0051,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0154,0.0154,0.018,0.018,0.0283,0.036,0.036,0.0385,0.0385,0.0462,0.0462,0.0539,0.0591,0.0642,0.0771,0.0771,0.0771,0.0848,0.0925,0.0925,0.1028,0.1079,0.1105,0.1207,0.1284,0.1464,0.149,0.1541,0.1644,0.1747,0.185,0.2183,0.2312,0.244,0.2672,0.2723,0.28,0.2954,0.3083,0.3134,0.3262,0.3391,0.3494,0.393,0.4316,0.4341,0.4444,0.4573,0.4804,0.4958,0.5266,0.5549,0.56,0.5626,0.5651,0.5831,0.6037,0.6319,0.6396,0.6602,0.6807,0.6936,0.7552,0.7706,0.7938,0.84,0.9171,0.9479,0.9864,1.0404,1.0943,1.1457,1.1585,1.2099,1.2279,1.2613,1.2947,1.4026,1.4077,1.4617,1.4925,1.5362,1.5875,1.6415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albânia,0.0,0.0,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.0695,0.0695,0.0695,0.0695,0.0695,0.139,0.1737,0.1737,0.2085,0.278,0.3475,0.3475,0.3822,0.5212,0.5212,0.556,0.5907,0.695,0.695,0.7297,0.7645,0.7645,0.7992,0.7992,0.7992,0.7992,0.7992,0.834,0.8687,0.9035,0.9035,0.9035,0.9035,0.9035,0.9035,0.9382,0.9382,0.9382,0.9382,0.973,0.973,1.0425,1.0425,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.112,1.112,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1815,1.1815,1.1815,1.1815,1.1815,1.2162,1.251,1.251,1.251,1.251,1.2857,1.3205,1.3552,1.4594,1.4942,1.5289,1.5289,1.5637,1.6332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argélia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0046,0.0068,0.0091,0.0091,0.0091,0.016,0.0205,0.0251,0.0342,0.0388,0.0388,0.0433,0.0479,0.057,0.0593,0.0661,0.0707,0.0798,0.1003,0.1323,0.1961,0.2394,0.2965,0.3466,0.3945,0.4401,0.4675,0.5359,0.5838,0.6271,0.6682,0.7138,0.7434,0.7662,0.7936,0.8301,0.8369,0.8552,0.8757,0.8939,0.9167,0.9281,0.9464,0.9555,0.9692,0.9852,0.9966,1.0125,1.0262,1.033,1.0467,1.0558,1.0604,1.0718,1.0855,1.1015,1.1129,1.1265,1.1448,1.1562,1.1744,1.1904,1.2064,1.2223,1.236,1.2497,1.2656,1.2793,1.2953,1.3113,1.3272,1.35,1.3683,1.3888,1.407,1.4207,1.4367,1.4549,1.4732,1.4891,1.5074,1.5211,1.5347,1.553,1.5735,1.5918,1.6123,1.6305,1.651,1.6693,1.6898,1.7126,1.7331,1.7491,1.7719,1.797,1.8221,1.8494,1.8814,1.9087,1.927,1.9429,1.9635,1.9817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2942,1.2942,1.2942,1.2942,3.8827,3.8827,3.8827,7.7655,10.354,15.531,18.1195,19.4137,20.708,22.0022,23.2964,27.1792,28.4734,29.7677,32.3562,33.6504,33.6504,37.5332,37.5332,40.1217,42.7102,42.7102,45.2986,45.2986,46.5929,47.8871,47.8871,47.8871,47.8871,51.7699,51.7699,51.7699,51.7699,53.0641,54.3584,54.3584,55.6526,56.9469,58.2411,58.2411,59.5354,59.5354,60.8296,60.8296,62.1239,62.1239,62.1239,62.1239,63.4181,63.4181,63.4181,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,66.0066,67.3008,67.3008,67.3008,67.3008,67.3008,67.3008,67.3008,67.3008,67.3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0091,0.0091,0.0091,0.0091,0.0091,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0152,0.0152,0.0183,0.0183,0.0183,0.0183,0.0213,0.0243,0.0243,0.0274,0.0274,0.0304,0.0304,0.0304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antígua e Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0211,2.0423,2.0423,2.0423,2.0423,2.0423,2.0423,2.0423,2.0423,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0022,0.0022,0.0022,0.0022,0.0022,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0066,0.0066,0.0089,0.0089,0.0089,0.0133,0.0177,0.0199,0.0288,0.0398,0.042,0.0509,0.0597,0.062,0.0797,0.0863,0.0951,0.0974,0.1062,0.1239,0.1394,0.1593,0.1814,0.1836,0.1991,0.2146,0.2257,0.2456,0.2544,0.2721,0.2854,0.2921,0.3009,0.3253,0.3363,0.3651,0.3894,0.4093,0.4248,0.4359,0.458,0.4735,0.4823,0.4978,0.5244,0.5443,0.5753,0.5841,0.604,0.624,0.6483,0.6638,0.6748,0.6948,0.7058,0.7279,0.781,0.7877,0.8032,0.8253,0.8452,0.8696,0.8917,0.9204,0.9581,0.9846,1.0001,1.0333,1.0709,1.1063,1.124,1.1506,1.1683,1.1926,1.2302,1.259,1.2899,1.3453,1.3984,1.4338,1.4692,1.5333,1.5864,1.6263,1.6926,1.7369,1.8033,1.8431,1.8896,1.9427,2.0201,2.0975,2.1661,2.1949,2.2369,2.3077,2.3852,2.4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arménia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337,0.0337,0.0337,0.1012,0.1012,0.1012,0.135,0.2362,0.2362,0.2362,0.2362,0.27,0.27,0.3037,0.3375,0.405,0.4387,0.4387,0.4725,0.5399,0.5737,0.6074,0.6412,0.6749,0.6749,0.7424,0.8099,0.8099,0.8099,0.9112,0.9449,0.9449,0.9787,1.0124,1.0124,1.0799,1.1136,1.1136,1.1811,1.3161,1.3499,1.3499,1.4174,1.4511,1.4849,1.5186,1.5524,1.5861,1.6198,1.6536,1.7548,1.8561,2.0248,2.0586,2.1598,2.261,2.3623,2.4973,2.5985,2.7335,2.936,3.071,3.3072,3.8134,4.0496,4.2858,4.4208,4.6908,5.332,5.737,5.9394,6.1757,6.4119,6.7494,7.1206,7.3231,7.6605,8.268,8.7067,8.9092,9.0779,9.6178,9.8878,10.1915,10.4278,10.7652,11.2039,11.8114,12.1489,12.5538,13.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrália,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0039,0.0039,0.0078,0.0078,0.0078,0.0078,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0196,0.0235,0.0235,0.0275,0.0275,0.0275,0.0275,0.0314,0.0314,0.051,0.051,0.0549,0.0627,0.0667,0.0706,0.0784,0.0941,0.1098,0.1176,0.1373,0.1569,0.1765,0.1961,0.2,0.2118,0.2235,0.2353,0.2392,0.2431,0.2471,0.2471,0.2588,0.2627,0.2627,0.2627,0.2627,0.2627,0.2941,0.3098,0.3137,0.3255,0.3255,0.349,0.3569,0.3647,0.3647,0.3686,0.3726,0.3765,0.3804,0.3804,0.3804,0.3804,0.3804,0.3804,0.3804,0.3843,0.3843,0.3843,0.3843,0.3843,0.3882,0.3882,0.3922,0.3922,0.3961,0.3961,0.4,0.4,0.4,0.4039,0.4039,0.4039,0.4039,0.4039,0.4039,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4039,0.4078,,,,
Áustria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.0111,0.0111,0.0111,0.0333,0.0333,0.0444,0.0666,0.0666,0.0888,0.1777,0.2332,0.3109,0.3331,0.5441,0.644,0.755,0.9549,1.1991,1.4212,1.6211,1.7543,1.8653,2.0652,2.2651,2.4427,2.6981,3.0312,3.2754,3.5419,3.7418,3.8861,4.086,4.2636,4.3636,4.5523,4.7855,4.9187,5.0187,5.2185,5.4517,5.6626,5.7959,5.8847,5.9513,6.0179,6.0957,6.3177,6.4399,6.4843,6.5398,6.6175,6.6397,6.6619,6.7286,6.7508,6.7619,6.8174,6.8285,6.8618,6.884,6.9173,6.9284,6.9506,6.9728,6.9839,6.9839,6.9839,7.0172,7.0283,7.0283,7.0505,7.095,7.1061,7.1172,7.1394,7.1616,7.4169,7.4169,7.4169,7.4169,7.4169,7.4281,7.4392,7.4392,7.4614,7.4614,7.4614,7.4614,7.4614,7.4725,7.4836,7.4947,7.5169,7.5169,7.528,7.5613,7.6279,7.639,7.639,7.639,7.6612,7.6612,7.6945,7.6945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
