País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Afeganistão,0.0,0.0,0.0,1.0,4.0,12.0,19.0,33.0,52.0,85.0,120.0,170.0,219.0,258.0,361.0,475.0,585.0,728.0,866.0,1012.0,1183.0,1261.0,1286.0,1321.0,1376.0,1388.0,1403.0,1413.0,1421.0,1443.0,1455.0,1464.0,1479.0,1494.0,1516.0,1538.0,1565.0,1620.0,1690.0,1774.0,1874.0,1965.0,2067.0,2160.0,2191.0,2277.0,2314.0,,,,,
Albânia,1.0,2.0,10.0,20.0,23.0,26.0,28.0,31.0,31.0,31.0,32.0,33.0,34.0,36.0,44.0,55.0,76.0,93.0,112.0,138.0,166.0,199.0,228.0,250.0,280.0,316.0,334.0,362.0,377.0,396.0,420.0,451.0,477.0,518.0,559.0,623.0,699.0,798.0,905.0,1003.0,1088.0,1153.0,1193.0,1241.0,1261.0,,,,,,,
Argélia,0.0,0.0,4.0,17.0,35.0,173.0,313.0,384.0,432.0,465.0,507.0,555.0,609.0,661.0,715.0,777.0,852.0,905.0,959.0,1018.0,1087.0,1163.0,1239.0,1312.0,1379.0,1446.0,1510.0,1562.0,1620.0,1679.0,1719.0,1768.0,1809.0,1865.0,1922.0,1980.0,2062.0,2168.0,2294.0,2431.0,2527.0,2609.0,2675.0,2737.0,2777.0,2812.0,2822.0,,,,,
Andorra,0.0,0.0,1.0,6.0,18.0,29.0,36.0,40.0,45.0,48.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,55.0,59.0,69.0,75.0,75.0,76.0,76.0,76.0,78.0,79.0,81.0,83.0,84.0,85.0,88.0,,,,,,
Angola,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,8.0,10.0,17.0,22.0,28.0,33.0,51.0,64.0,80.0,93.0,105.0,113.0,130.0,144.0,162.0,185.0,211.0,228.0,260.0,275.0,299.0,315.0,333.0,341.0,352.0,362.0,382.0,393.0,405.0,413.0,425.0,,,,,,,,,
Antígua e Barbuda,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,,,,,,,,
Argentina,1.0,2.0,4.0,23.0,48.0,97.0,136.0,197.0,260.0,314.0,382.0,467.0,556.0,693.0,854.0,1043.0,1280.0,1582.0,1903.0,2373.0,3059.0,3813.0,4764.0,5814.0,7366.0,8660.0,10129.0,11667.0,13482.0,16113.0,21468.0,24186.0,26716.0,29301.0,31623.0,33907.0,35727.0,37122.0,38730.0,39888.0,41041.0,41997.0,42868.0,43634.0,44654.0,45125.0,,,,,,
Arménia,0.0,0.0,0.0,1.0,7.0,13.0,20.0,28.0,33.0,44.0,55.0,77.0,127.0,190.0,264.0,332.0,421.0,477.0,559.0,631.0,700.0,749.0,785.0,817.0,850.0,872.0,895.0,911.0,928.0,948.0,972.0,1016.0,1067.0,1157.0,1341.0,1533.0,1738.0,1931.0,2121.0,2309.0,2462.0,2616.0,2752.0,2836.0,2922.0,2963.0,,,,,,
Austrália,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,14.0,30.0,57.0,67.0,80.0,94.0,97.0,98.0,102.0,103.0,103.0,102.0,102.0,104.0,104.0,108.0,122.0,155.0,208.0,295.0,396.0,502.0,611.0,753.0,810.0,849.0,872.0,894.0,898.0,904.0,905.0,907.0,907.0,907.0,907.0,907.0,908.0,908.0,908.0,908.0,909.0,909.0,909.0,
Áustria,0.0,0.0,3.0,21.0,108.0,220.0,368.0,470.0,549.0,600.0,620.0,629.0,641.0,668.0,672.0,678.0,690.0,703.0,706.0,708.0,711.0,713.0,718.0,723.0,729.0,733.0,733.0,746.0,757.0,767.0,790.0,818.0,855.0,904.0,992.0,1159.0,1454.0,1887.0,2459.0,3184.0,3897.0,4530.0,5435.0,5931.0,6357.0,6747.0,6921.0,,,,,
