País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Afeganistão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0103,0.0411,0.0591,0.0925,0.1516,0.244,0.3262,0.4573,0.5677,0.7039,0.9967,1.2716,1.585,1.9318,2.3685,2.7332,3.0518,3.2675,3.3138,3.4576,3.5501,3.5912,3.6143,3.6452,3.6683,3.7171,3.7505,3.7736,3.807,3.8558,3.9175,3.974,4.0587,4.2154,4.4055,4.6804,4.8962,5.1248,5.3843,5.5975,5.7644,5.9109,6.0265,6.1369,6.178,6.2011,6.2371,6.2551,6.2833,6.2962,6.3193,6.3347,6.3604,6.4529,6.4966,6.5479,6.6738,6.8022,6.9615,7.0668,7.2235
Albânia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347,0.1737,0.5212,0.7645,0.834,0.9035,1.0425,1.0772,1.0772,1.0772,1.1467,1.1467,1.1815,1.2857,1.5637,2.1544,2.8147,3.3706,4.0656,5.1428,6.1158,7.1235,8.0617,8.9999,10.0772,11.1544,11.8146,12.7528,13.3435,14.0038,14.9072,15.915,16.9227,18.4864,20.1196,22.135,25.5404,28.5635,32.5249,35.7218,38.6059,40.6561,42.0461,43.5055,44.7217,46.2854,48.5788,51.7062,54.9726,58.934,63.7641,68.4204,72.1733,74.9184,77.3856,79.3315,80.8257,81.7639,82.8064,83.4666,84.0921,84.6481,84.9608
Argélia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0433,0.1003,0.4401,0.7434,0.8939,0.9966,1.0718,1.1744,1.2793,1.407,1.5211,1.651,1.797,1.9635,2.0798,2.2075,2.3443,2.5085,2.6772,2.846,3.0148,3.1721,3.3203,3.4617,3.5826,3.7217,3.8517,3.9361,4.0318,4.1459,4.2713,4.4035,4.5153,4.7365,4.9851,5.2656,5.5803,5.7901,5.9816,6.1276,6.2598,6.3442,6.4217,6.4833,6.5472,6.6087,6.668,6.7159,6.7661,6.8208,6.8915,6.944,6.9919,7.0443,7.0968,7.1538,7.2176,7.3544,7.5004,7.6235,7.7262,7.8128
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2942,15.531,28.4734,40.1217,47.8871,53.0641,59.5354,62.1239,66.0066,66.0066,66.0066,66.0066,67.3008,67.3008,67.3008,67.3008,67.3008,67.3008,67.3008,67.3008,67.3008,68.5951,68.5951,68.5951,68.5951,68.5951,68.5951,68.5951,68.5951,73.7721,80.2433,93.1858,97.0685,97.0685,98.3628,98.3628,98.3628,100.9513,102.2455,106.1283,108.7168,108.7168,111.3052,119.0707,125.542,132.0132,137.1902,138.4844,142.3672,142.3672,144.9557,146.2499,146.2499,148.8384,151.4269,156.6039,159.1924,160.4866,164.3694,164.3694,164.3694,164.3694
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0091,0.0122,0.0122,0.0122,0.0183,0.0304,0.0396,0.0639,0.0791,0.0913,0.143,0.1795,0.2434,0.2738,0.3103,0.3316,0.3773,0.4229,0.4716,0.5446,0.642,0.6755,0.7637,0.8246,0.8854,0.9371,0.998,1.0284,1.0649,1.0801,1.1319,1.1958,1.2262,1.2475,1.284,1.3448,1.4057,1.424,1.4544,1.5031,1.5213,1.5517,1.57,1.5883,1.6126,1.6309,1.6643,1.6856,1.7191,1.786,1.853,1.9442,2.0842,2.2242
Antígua e Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0211,2.0423,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,4.0846,4.0846,4.0846,4.0846,5.1057,5.1057,5.1057,5.1057,5.1057,6.1269,6.1269,7.148,8.1692,9.1903,14.2961,14.2961,22.4653,27.571,28.5921,28.5921,29.6133,31.6556,31.6556,32.6767,32.6767,32.6767,42.8882,42.8882
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0044,0.0133,0.0597,0.1239,0.2257,0.3253,0.458,0.5841,0.7058,0.8696,1.0709,1.259,1.5864,1.9427,2.3852,2.8919,3.6375,4.3544,5.5094,7.0338,8.8039,11.0718,13.3818,16.7339,19.7341,23.0221,26.2237,30.8701,36.5499,48.2943,54.3679,59.9614,65.7805,70.9181,75.6332,79.888,82.8219,86.1319,88.5238,91.1678,93.491,95.1815,96.8785,99.2305,101.9255,104.5518,107.1472,109.6695,111.5857,113.9708,115.4798,117.8252,119.5599,121.3012,123.3213,125.3082,128.7156,132.2956,138.5063,144.2657,151.1447,158.8002,164.7942
Arménia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1012,0.27,0.5399,0.8099,1.0124,1.3499,1.5861,2.1598,3.071,5.332,7.3231,9.8878,12.5538,14.9498,16.9746,19.6069,22.3404,24.264,25.9176,27.0987,28.0773,28.9548,29.7309,30.4734,31.0471,31.6545,32.3294,33.4093,34.8267,37.1552,41.2386,47.6842,54.2986,61.1155,67.5611,74.0068,80.0474,85.3457,90.2052,94.3898,97.1233,99.2494,101.4767,102.9953,104.2439,105.4925,106.3025,107.0111,107.9898,109.0697,110.5883,114.1992,118.0126,122.3997,127.3942,132.2538,136.9446,140.5555,143.6264,146.6636,148.2835
Austrália,0.0,0.0,0.0,0.0,0.0,0.0039,0.0118,0.0196,0.0314,0.0706,0.1765,0.2431,0.2627,0.349,0.3804,0.3843,0.3922,0.4039,0.4039,0.4,0.4,0.4039,0.4078,0.4157,0.4353,0.502,0.6902,0.9686,1.3804,1.7647,2.153,2.6,3.0628,3.2314,3.3686,3.4745,3.5177,3.5451,3.549,3.5569,3.5569,3.5569,3.5569,3.5569,3.5608,3.5608,3.5608,3.5608,3.5647,3.5647,3.5647,3.5647,3.5647,3.5647,3.5647,3.5647,3.5647,3.5647,3.5647,3.5647,3.5647,3.5647,3.5647,3.5686,3.5686,3.5686,3.5686,3.5686,3.5686,3.5686
Áustria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.3109,1.4212,2.6981,4.2636,5.4517,6.3177,6.7286,6.9173,7.0172,7.1394,7.4281,7.4614,7.5613,7.6945,7.8278,7.8389,7.8722,7.8944,7.9166,7.9832,8.0276,8.0942,8.1387,8.1498,8.2941,8.4051,8.5606,8.8382,9.1268,9.5599,10.1483,11.1587,13.235,16.6437,21.5958,28.613,36.9182,44.4351,51.6078,61.5118,67.2744,71.6935,75.7128,79.9321,83.4407,87.127,89.6141,91.7126,93.6445,95.5432,97.2309,99.0962,101.2725,103.3488,105.6693,108.2342,110.5769,112.4312,114.2632,115.6178,116.5727,117.1056
Azerbaijão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.0099,0.0493,0.0789,0.1282,0.1973,0.217,0.2564,0.3255,0.4044,0.5129,0.7003,0.9665,1.2427,1.6471,2.1008,2.6136,3.1462,3.7084,4.241,4.6651,4.8821,5.0201,5.1385,5.2864,5.4442,5.5823,5.7007,5.819,5.9176,6.036,6.2628,6.7856,7.5746,8.551,9.912,11.7761,14.1333,16.8949,19.7945,22.6251,25.3965,27.5368,29.0063,29.9038,30.5745,30.9788,31.1958,31.4128,31.6002,31.8073,32.0539,32.5273,33.3755,34.8944,36.9162,39.234,41.4531,43.682,45.339,46.4831,47.3608,48.0019
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5258,2.0344,2.2887,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,3.5601,3.8144,5.0859,11.6976,12.7148,15.0034,17.5464,19.5807,23.1408,25.4295,27.4639,31.5326,34.5841,37.89,39.1614,41.4501,41.4501,41.4501,41.4501,41.7044,42.9759,43.2302,44.5016,44.5016,44.5016,44.5016,44.7559,44.7559,45.5188,45.5188,45.5188,47.0446,47.2989,47.8075,47.8075,48.0618,48.3161,49.3332,50.3504,53.402,54.4191,56.1992,57.2164
Bahrein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.1763,0.2351,0.2938,0.4114,0.4114,0.4702,0.4702,0.5289,0.7052,0.8228,1.1166,1.7043,2.7621,3.9375,5.1129,5.7594,6.5234,7.5812,8.2864,8.8741,9.6969,10.2846,10.931,11.1661,11.8714,12.5178,13.3406,14.4572,15.3975,16.7492,17.9246,18.571,19.0412,19.4526,19.8052,19.9815,20.0403,20.1578,20.4516,20.5692,20.6279,20.6867,20.9218,21.2744,21.7446,22.0972,22.7436,24.0953,25.447,26.6224,27.8565,28.6205,29.5608,30.3836,32.0291,33.2633,35.5553,36.7894,38.9051,40.962,44.9583,49.8362
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.003,0.0103,0.0279,0.0668,0.0941,0.1111,0.1518,0.2247,0.317,0.4305,0.592,0.7663,0.9381,1.1215,1.3061,1.4719,1.6449,1.8216,1.9637,2.1076,2.2709,2.4458,2.6207,2.764,2.9158,3.0403,3.169,3.2819,3.3864,3.4605,3.5449,3.6329,3.7088,3.7975,3.9152,4.0531,4.1933,4.3288,4.4502,4.5595,4.6573,4.7477,4.8224,4.891,4.9481,4.9967,5.0386,5.0847,5.1145,5.1546,5.2201,5.3057,5.4612,5.698,6.0059,6.4291,6.8177,7.1073,7.2895,7.4146,7.5299
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0439,1.3919,1.7399,2.0879,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,3.4798,4.8717,6.9595,8.6994,10.7873,12.5272,12.8752,13.5711,13.9191,14.6151,14.963,15.311,15.311,15.311,15.659,15.659,16.3549,16.3549
Bielorrússia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106,0.1376,0.3492,0.5821,0.836,1.1324,1.5028,1.852,2.2012,2.5716,2.9843,3.3653,3.778,4.1484,4.6141,5.0162,5.3655,5.7464,6.0745,6.265,6.5296,6.9,7.2598,7.6302,8.0535,8.371,8.7625,9.1858,9.588,9.9161,10.2124,10.4981,10.7521,11.2177,11.768,12.3395,12.9321,13.5671,14.1915,14.8582,15.5673,16.2446,16.943,17.6521,18.3823,19.0596,19.758,20.4247,21.0915,21.7476,22.3508,23.0175,23.6737,24.3827,25.1129,25.8537,26.5839,27.3247,28.0655,28.7957,29.4201
Bélgica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0863,1.0527,6.083,17.5588,35.8683,51.7532,63.2549,69.1653,75.5935,78.5875,80.5376,82.013,82.9967,83.3763,83.8077,84.1011,84.3341,84.4462,84.6015,84.8431,85.0071,85.2918,85.9303,86.2496,85.3954,85.5248,85.6801,85.8958,86.2927,87.0779,88.3894,90.5034,95.2404,104.6281,117.0098,128.037,137.5196,144.8365,151.0575,156.8472,162.3953,167.0546,171.0755,174.2421,177.3483,180.1525,182.6893,185.2692,187.6679,189.4453,191.0416,192.6465,194.7604,196.4085,198.16,200.5846,203.3371,205.6495,207.9792,210.2484,212.3365,213.5445,214.4418
