País Português,Casos,Mortes,População
Afeganistão,152960,7101,38928346
Albânia,144079,2490,2877797
Argélia,194671,5179,43851044
Andorra,15025,130,77265
Angola,47079,1192,32866272
Antígua e Barbuda,1638,43,97929
Argentina,5171458,111324,45195774
Arménia,240953,4812,2963243
Austrália,51256,999,25499884
Áustria,684541,10777,9006398
Azerbaijão,413986,5512,10139177
Bahamas,17940,354,393244
Bahrein,272246,1388,1701575
Bangladesh,1489589,25926,164689383
Barbados,4881,48,287375
Bielorrússia,477901,3745,9449323
Bélgica,1177909,25360,11589623
Belize,16012,356,397628
Benim,13366,128,12123200
Butão,2594,3,771608
Bolívia,489802,18402,11673021
Bósnia e Herzegovina,212306,9785,3280819
Botswana,153793,2213,2351627
Brasil,20728605,579010,212559417
Brunei,2380,7,437479
Bulgária,451148,18705,6948445
Burkina Faso,13759,171,20903273
Myanmar,389134,15077,54409800
Burundi,11994,38,11890784
Cabo Verde,35147,308,555987
Camboja,91770,1870,16718965
Camarões,83425,1350,26545863
Canadá,1495859,26953,37742154
República Centro-Africana,11270,99,4829767
Chade,4990,174,16425864
Chile,1637234,36841,19116201
China,106982,4848,1439323776
Colômbia,4903304,124743,50882891
Comores,4062,147,869601
República do Congo,13533,183,5518087
República Democrática do Congo,54508,1057,89561403
Costa Rica,455784,5431,5094118
Costa do Marfim,54856,424,26378274
Croácia,372814,8324,4105267
Cuba,634161,5067,11326616
Chipre,113069,497,1207359
República Tcheca,1678731,30401,10708981
Dinamarca,344679,2579,5792202
Diamond Princess,712,13,3711
Djibouti,11728,157,988
Domínica,1638,4,71986
República Dominicana,349620,4007,10847910
Equador,501049,32223,17643054
Egito,287644,16714,102334404
El Salvador,94060,2890,6486205
Guiné Equatorial,9173,123,1402985
Eritreia,6639,37,3546421
Estónia,141014,1287,1326535
Essuatíni,42719,1067,1160164
Etiópia,305077,4631,114963588
Fiji,45631,479,896445
Finlândia,125474,1022,5540720
França,6813516,114453,65273511
Gabão,25819,165,2225734
Gâmbia,9533,311,2416668
Geórgia,540449,7175,3989167
Alemanha,3933585,92136,83783942
Gana,117636,1008,31072940
Grécia,579734,13544,10423054
Granada,317,1,112523
Guatemala,463753,11818,17915568
Guiné,29209,326,13132795
Guiné-Bissau,5745,116,1968001
Guiana,24967,609,786552
Haiti,20833,584,11402528
Santa Sé,27,0,801
Honduras,335398,8832,9904607
Hungria,811706,30057,9660351
Islândia,10605,32,341243
Índia,32649947,437370,1380004385
Indonésia,4066404,131372,273523615
Irã,4895448,105901,83992949
Iraque,1868352,20632,40222493
Irlanda,348067,5092,4937786
Israel,1045800,6950,8655535
Itália,4524292,129056,60461826
Jamaica,65734,1483,2961167
Japão,1440812,15919,126476461
Jordânia,794350,10368,10203134
Cazaquistão,849557,12655,18776707
Quénia,234589,4694,53771296
Kiribati,2,0,119449
Coreia do Sul,248568,2279,51269185
Kosovo,141041,2421,1809740
Kuwait,409363,2416,4270571
Quirguistão,175224,2513,6524195
Laos,14466,12,7275560
Letónia,142123,2573,1886198
Líbano,599298,8040,6825445
Lesoto,14395,403,2142249
Libéria,5538,245,5057681
Líbia,303790,4165,6871292
Liechtenstein,3259,59,38128
Lituânia,297334,4532,2722289
Luxemburgo,75517,830,625978
MS Zaandam,9,2,1829
Madagascar,42862,955,27691018
Malawi,60313,2157,19129952
Malásia,1685510,15802,32365999
Maldivas,80678,225,540544
Mali,14846,539,20250833
Malta,36039,440,441543
Ilhas Marshall,4,0,5919
Mauritânia,33158,702,4649658
Ilhas Maurício,8667,27,1271768
México,3328863,257906,128932753
Estados Federados da Micronésia,1,0,115023
Moldávia,266784,6390,4033963
Mónaco,3183,33,39242
Mongólia,206457,924,3278290
